Time_s,Voltage_mV
0,176.0584712029
12.91388608,176.2760281563
214.37069154,177.1715581417
289.27131184,177.13996768
490.72803492,177.3198395967
529.46974186,176.6083836555
681.85374718,176.0790199041
870.39668736,176.7646670341
1022.78067218,177.0979911089
1058.93956018,178.055614233
1286.22422988,177.1948337555
1425.69443124,177.7478009462
1503.17777656,178.2543957233
1678.80672256,178.7997484207
1704.63451254,179.265037179
1844.10460302,179.4486641884
1993.90577632,179.0544837713
2133.3757811,179.0456026793
2223.77296908,179.0103465319
2399.40190792,179.0079623461
2577.61379148,179.4482469559
2704.17010766,179.6823292971
2817.81255772,179.8756718636
2944.3688292,180.0528019667
3045.09732798,179.8067092896
3107.0840091,179.5781254768
3246.55398758,179.4186681509
3373.11013954,179.1131943464
3512.5801463,178.9577156305
3639.13619568,178.8722723722
3827.67906198,178.9179891348
3889.66571042,178.9463758469
4080.79133,178.6119639874
4194.43358984,178.7233799696
4269.33422446,178.5269975662
4483.70489764,178.4324795008
4597.3471893,178.3341169357
4698.07573784,178.4772276878
4850.4597282,178.4924268723
4938.27443082,178.4072071314
5113.90376462,178.1936585903
5178.4732732,178.1341582537
5341.18838226,178.0360937119
5558.14188368,178.0716478825
5633.04244212,178.2269328833
5707.942914,177.9846251011
5886.15484086,178.1115680933
6074.6982922,178.4825026989
6100.52611582,178.4093379974
6227.08250724,178.1409531832
6389.79773746,177.6008009911
6516.35412408,177.6726990938
6694.56617854,177.7450591326
6808.20861682,177.8771877289
6896.02314048,177.94264853
7087.14900842,177.9073029757
7110.39402506,177.955403924
7327.34730112,177.7983009815
7464.2345992,177.6653826237
7502.9762057,177.7219325304
7629.53227438,177.2566884756
7756.08847194,177.0439147949
7957.54517378,176.9275069237
8084.10123736,176.8734157085
8161.58468626,176.8172085285
8363.04193352,176.7935156822
8401.78366904,176.6087561846
8590.32611936,176.2427836657
8665.2256201,176.2944757938
8856.34868894,176.4099597931
8969.98921304,176.4560937881
9158.5297719,176.5000224113
9272.17062602,176.4746159315
9385.8115928,176.8201440573
9525.28000882,176.5729486942
9600.17974712,176.7387390137
9775.8069821,176.7891049385
9902.36166608,176.8720299006
9992.7580181,176.965251565
10106.3990203,176.9640594721
10320.76712906,176.8029183149
10382.7531134,176.7445653677
