Time_s,Bridge_Bridge_fullSystem_neg_deg_bat,Bridge_Bridge_fullSystem_neg_deg_Vout,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
0,NaN,NaN,27.173,25,0,30
25,NaN,NaN,26.705,25,84.551,30
43.93520102,NaN,-2.355015370995,NaN,NaN,NaN,NaN
61,NaN,NaN,26.39,25,78.165,30
77.51108372,NaN,-2.275322331116,NaN,NaN,NaN,NaN
95.5903705,NaN,-2.308946568519,NaN,NaN,NaN,NaN
113.66966002,NaN,-2.346487017348,NaN,NaN,NaN,NaN
129.7123013,3165.858030319,NaN,NaN,NaN,NaN,NaN
147.24560924,NaN,-2.329324372113,NaN,NaN,NaN,NaN
165.87072028,3489.494085312,NaN,NaN,NaN,NaN,NaN
183.40435046,NaN,-2.342335181311,NaN,NaN,NaN,NaN
199.44635214,3487.072706223,NaN,NaN,NaN,NaN,NaN
217.52551202,3196.263790131,NaN,NaN,NaN,NaN,NaN
235.60470324,3485.522270203,NaN,NaN,NaN,NaN,NaN
252,NaN,NaN,25.486,25,40.57,30
269.18027676,3167.914390564,NaN,NaN,NaN,NaN,NaN
287.25944104,3489.739894867,NaN,NaN,NaN,NaN,NaN
305.33859016,3495.559215546,NaN,NaN,NaN,NaN,NaN
323,NaN,NaN,25.218,25,35.463,30
341.49691492,3495.973825455,NaN,NaN,NaN,NaN,NaN
359.0326293,NaN,-2.426384948194,NaN,NaN,NaN,NaN
375.07248124,3491.405963898,NaN,NaN,NaN,NaN,NaN
394,NaN,NaN,25.048,25,33.681,30
411.23087324,3485.174417496,NaN,NaN,NaN,NaN,NaN
429,NaN,NaN,25.0035,25,33.3315,30
446.84677128,NaN,-2.375248121098,NaN,NaN,NaN,NaN
465,NaN,NaN,24.979,25,33.426,30
483.0055915,NaN,-2.364190295339,NaN,NaN,NaN,NaN
499.04431306,3479.776382446,NaN,NaN,NaN,NaN,NaN
517.12354552,3499.375343323,NaN,NaN,NaN,NaN,NaN
535.20272054,3166.272163391,NaN,NaN,NaN,NaN,NaN
551,NaN,NaN,24.955,25,33.841,30
570.81985252,NaN,-2.448364859447,NaN,NaN,NaN,NaN
586.85763686,3460.057497025,NaN,NaN,NaN,NaN,NaN
604.93685742,3500.2617836,NaN,NaN,NaN,NaN,NaN
621,NaN,NaN,24.926,25,33.474,30
640.55473578,NaN,-2.391242189333,NaN,NaN,NaN,NaN
656.59181732,3502.356052399,NaN,NaN,NaN,NaN,NaN
674.13084678,NaN,-2.419912721962,NaN,NaN,NaN,NaN
692.21027664,NaN,15.35877492279,NaN,NaN,NaN,NaN
710.2896851,NaN,-2.493265317753,NaN,NaN,NaN,NaN
727,NaN,NaN,24.842,25,32.42,30
743.86581954,NaN,15.54229762405,NaN,NaN,NaN,NaN
762,NaN,NaN,24.831,25,31.954,30
780.02472894,NaN,-2.56834179163,NaN,NaN,NaN,NaN
796.05975692,3504.954576492,NaN,NaN,NaN,NaN,NaN
814.1389302,3420.200109482,NaN,NaN,NaN,NaN,NaN
832.21812866,3503.555059433,NaN,NaN,NaN,NaN,NaN
849,NaN,NaN,24.78,25,31.128,30
867.83929556,NaN,-2.477364148945,NaN,NaN,NaN,NaN
883.87290044,3505.447387695,NaN,NaN,NaN,NaN,NaN
901.95210278,3169.718980789,NaN,NaN,NaN,NaN,NaN
919.4949399,NaN,-2.488991012797,NaN,NaN,NaN,NaN
938.11045792,3250.847816467,NaN,NaN,NaN,NaN,NaN
955.65390984,NaN,-2.578810090199,NaN,NaN,NaN,NaN
973.73338704,NaN,-2.551978453994,NaN,NaN,NaN,NaN
991.81284906,NaN,-2.490944229066,NaN,NaN,NaN,NaN
1009,NaN,NaN,24.901,25,30.018,30
1025.92335848,3509.789466858,NaN,NaN,NaN,NaN,NaN
1044.00251936,3497.874498367,NaN,NaN,NaN,NaN,NaN
1061.54761502,NaN,-2.499807626009,NaN,NaN,NaN,NaN
1079.62695184,NaN,-2.504067029804,NaN,NaN,NaN,NaN
1096,NaN,NaN,24.987,25,29.636,30
1115.78570332,NaN,-2.613808726892,NaN,NaN,NaN,NaN
1131.81535954,3493.108510971,NaN,NaN,NaN,NaN,NaN
1149.89443682,3508.961439133,NaN,NaN,NaN,NaN,NaN
1167.44102952,NaN,-2.561062574387,NaN,NaN,NaN,NaN
1185.52041806,NaN,-2.546784235165,NaN,NaN,NaN,NaN
1201.54902058,3510.557174683,NaN,NaN,NaN,NaN,NaN
1219.09636146,NaN,-2.533655148,NaN,NaN,NaN,NaN
1237.17572452,NaN,16.37845113873,NaN,NaN,NaN,NaN
1255.25511658,NaN,-2.591113792732,NaN,NaN,NaN,NaN
1271.28267698,3497.500181198,NaN,NaN,NaN,NaN,NaN
1289.36176844,3510.783910751,NaN,NaN,NaN,NaN,NaN
1307,NaN,NaN,25.048,25,30.142,30
1324.98985252,NaN,16.99953526258,NaN,NaN,NaN,NaN
1343,NaN,NaN,25.053,25,30.319,30
1359.09549644,3489.731311798,NaN,NaN,NaN,NaN,NaN
1377.17470552,3511.020898819,NaN,NaN,NaN,NaN,NaN
1394,NaN,NaN,25.052,25,30.381,30
1412.80411796,NaN,-2.595944097266,NaN,NaN,NaN,NaN
1429,NaN,NaN,25.051,25,30.331,30
1446.90873876,3455.712556839,NaN,NaN,NaN,NaN,NaN
1464.45957664,NaN,17.07352511585,NaN,NaN,NaN,NaN
1482.53900036,NaN,-2.63728084974,NaN,NaN,NaN,NaN
1500,NaN,NaN,25.031,25,30.179,30
1516.64286886,3512.692689896,NaN,NaN,NaN,NaN,NaN
1534.72208438,3177.134990692,NaN,NaN,NaN,NaN,NaN
1552.27388654,NaN,-2.660883590579,NaN,NaN,NaN,NaN
1570.35328322,NaN,-2.576591214165,NaN,NaN,NaN,NaN
1588.4327023,NaN,-2.606185851619,NaN,NaN,NaN,NaN
1606.51211836,NaN,-2.675966359675,NaN,NaN,NaN,NaN
1622.5353674,3182.896375656,NaN,NaN,NaN,NaN,NaN
1640.61453272,3510.498523712,NaN,NaN,NaN,NaN,NaN
1658.1676055,NaN,-2.633357653394,NaN,NaN,NaN,NaN
1676.24700182,NaN,-2.623799722642,NaN,NaN,NaN,NaN
1694,NaN,NaN,25.011,25,30.002,30
1710.34856062,3194.109201431,NaN,NaN,NaN,NaN,NaN
1728.42768576,3510.285615921,NaN,NaN,NaN,NaN,NaN
1745.98185588,NaN,-2.626215107739,NaN,NaN,NaN,NaN
1764,NaN,NaN,24.994,25,30.01,30
1780.08250846,3512.919664383,NaN,NaN,NaN,NaN,NaN
1798.1617001,3220.790863037,NaN,NaN,NaN,NaN,NaN
1815.7168342,NaN,-2.65189120546,NaN,NaN,NaN,NaN
1833.79626188,NaN,-2.63507780619,NaN,NaN,NaN,NaN
1849.81655764,3184.296607971,NaN,NaN,NaN,NaN,NaN
1867.8957466,3512.774705887,NaN,NaN,NaN,NaN,NaN
1885.45175024,NaN,-2.69921659492,NaN,NaN,NaN,NaN
1903.53120526,NaN,-2.664094790816,NaN,NaN,NaN,NaN
1920,NaN,NaN,25.016,25,29.503,30
1937.62957812,3192.710876465,NaN,NaN,NaN,NaN,NaN
1955.708749,3512.475252151,NaN,NaN,NaN,NaN,NaN
1973.26616368,NaN,-2.688044449314,NaN,NaN,NaN,NaN
1991.3456152,NaN,-2.679061843082,NaN,NaN,NaN,NaN
