Time_s,Bridge_BridgeBatteriSp_nding_neg_deg,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
0,NaN,25.15,25,0,30
41,NaN,24.625,25,88.513,30
67,NaN,24.579,25,80.523,30
82,NaN,24.697,25,80.127,30
99.03423504,3587.426900864,NaN,NaN,NaN,NaN
114.53071124,3528.961420059,NaN,NaN,NaN,NaN
130.02719872,3583.859920502,NaN,NaN,NaN,NaN
145.52368892,3587.83698082,NaN,NaN,NaN,NaN
161.02017062,3590.069532394,NaN,NaN,NaN,NaN
178,NaN,24.859,25,55.52,30
192.013176,3548.337459564,NaN,NaN,NaN,NaN
208,NaN,24.747,25,45.255,30
224,NaN,24.698,25,42.051,30
241,NaN,24.64,25,38.856,30
254,NaN,24.607,25,37.222,30
270,NaN,24.569,25,35.487,30
287.57480738,3594.188928604,NaN,NaN,NaN,NaN
301,NaN,24.516,25,32.772,30
318.56771062,3586.055755615,NaN,NaN,NaN,NaN
334.0641845,3592.808961868,NaN,NaN,NaN,NaN
350,NaN,24.508,25,29.867,30
365,NaN,24.523,25,29.287,30
380.55357178,3530.709505081,NaN,NaN,NaN,NaN
396.05001968,3592.571735382,NaN,NaN,NaN,NaN
411.54646686,3595.249176025,NaN,NaN,NaN,NaN
427.04296214,3596.875667572,NaN,NaN,NaN,NaN
442.5394334,3536.796808243,NaN,NaN,NaN,NaN
458.03591264,3590.968847275,NaN,NaN,NaN,NaN
476.11512662,3596.765995026,NaN,NaN,NaN,NaN
491.6115656,3598.145246506,NaN,NaN,NaN,NaN
507.10802064,3530.370473862,NaN,NaN,NaN,NaN
522.6044513,3594.251155853,NaN,NaN,NaN,NaN
540.68359654,3597.952842712,NaN,NaN,NaN,NaN
553.59733392,3598.161220551,NaN,NaN,NaN,NaN
569.09380294,3535.170316696,NaN,NaN,NaN,NaN
587.17302846,3596.032381058,NaN,NaN,NaN,NaN
602,NaN,25.81,25,37.637,30
618.16598118,3599.114656448,NaN,NaN,NaN,NaN
633.6624418,3530.218839645,NaN,NaN,NaN,NaN
649.15893446,3595.302581787,NaN,NaN,NaN,NaN
664,NaN,25.999,25,38.37,30
679,NaN,25.996,25,37.869,30
695.64834644,3534.06047821,NaN,NaN,NaN,NaN
711.14478394,3593.874692917,NaN,NaN,NaN,NaN
726.64125366,3597.134113312,NaN,NaN,NaN,NaN
742.13771474,3598.773241043,NaN,NaN,NaN,NaN
760.21688466,3538.884162903,NaN,NaN,NaN,NaN
775.7133447,3596.163988113,NaN,NaN,NaN,NaN
788.627066,3596.504211426,NaN,NaN,NaN,NaN
806,NaN,25.417,25,33.546,30
821,NaN,25.364,25,33.206,30
837.69912706,3594.851493835,NaN,NaN,NaN,NaN
852,NaN,25.257,25,32.95,30
868.6920168,3599.406480789,NaN,NaN,NaN,NaN
884.18848784,3586.500883102,NaN,NaN,NaN,NaN
899.68488798,3591.127634048,NaN,NaN,NaN,NaN
915.18134192,3597.134590149,NaN,NaN,NaN,NaN
930.67779266,3599.028348923,NaN,NaN,NaN,NaN
948,NaN,25.06,25,32.85,30
962,NaN,25.05,25,32.912,30
978,NaN,25.019,25,32.913,30
994,NaN,25.009,25,32.761,30
1009,NaN,24.987,25,32.854,30
1024,NaN,24.973,25,32.729,30
1039.15282762,3593.715667725,NaN,NaN,NaN,NaN
1057.23199906,3599.374294281,NaN,NaN,NaN,NaN
1072.72845186,3600.645542145,NaN,NaN,NaN,NaN
1085.64214666,3600.769519806,NaN,NaN,NaN,NaN
1103.72131244,3596.471071243,NaN,NaN,NaN,NaN
1119.21780258,3598.827600479,NaN,NaN,NaN,NaN
1135,NaN,24.939,25,32.399,30
1150,NaN,24.94,25,32.308,30
