T_amb,T_MCU
24.858,28.522
24.874,28.589
24.892,28.581
24.912,28.464
24.932,28.457
24.951,28.438
24.968,28.442
24.985,28.534
24.999,28.518
25.012,28.570
25.022,28.614
25.030,28.688
25.035,28.644
25.038,28.651
25.040,28.663
25.041,28.703
25.041,28.737
25.040,28.771
25.038,28.765
25.035,28.697
25.031,28.687
25.027,28.677
25.022,28.621
25.018,28.605
25.014,28.708
25.011,28.699
25.010,28.664
25.008,28.697
25.008,28.646
25.008,28.672
25.010,28.743
25.012,28.746
25.016,28.578
25.021,28.612
25.028,28.596
25.034,28.477
25.041,28.483
25.048,28.515
25.054,28.420
25.060,28.418
25.064,28.370
25.067,28.320
25.070,28.349
25.072,28.428
25.072,28.443
25.072,28.516
25.070,28.588
25.068,28.603
25.064,28.610
25.061,28.637
25.058,28.629
25.056,28.644
25.054,28.683
25.053,28.742
25.052,28.662
25.052,28.658
25.052,28.695
25.054,28.640
25.056,28.638
25.058,28.612
25.061,28.629
25.063,28.707
25.065,28.782
25.066,28.894
25.066,28.851
25.067,28.937
25.067,28.922
25.067,28.875
25.066,28.875
25.065,28.845
25.064,28.869
25.062,28.860
25.061,28.911
25.060,28.937
25.058,28.782
25.057,28.707
25.056,28.700
25.054,28.758
25.053,28.719
25.051,28.718
25.050,28.737
25.049,28.712
25.048,28.692
25.046,28.622
25.043,28.597
25.040,28.624
25.038,28.686
25.035,28.713
25.033,28.610
25.031,28.640
25.030,28.673
25.028,28.709
25.025,28.730
25.022,28.769
25.020,28.733
25.019,28.741
25.018,28.653
25.018,28.634
25.017,28.618
25.017,28.652
25.016,28.616
25.015,28.590
25.015,28.551
25.015,28.467
25.016,28.470
25.016,28.549
25.016,28.627
25.015,28.702
25.014,28.742
25.013,28.785
25.011,28.776
25.010,28.761
25.008,28.748
25.005,28.754
25.004,28.877
25.003,28.837
25.002,28.776
25.002,28.670
25.002,28.685
25.003,28.699
25.003,28.703
25.004,28.723
25.004,28.726
25.005,28.709
25.005,28.704
25.005,28.647
25.004,28.719
25.003,28.713
25.002,28.671
25.000,28.737
24.999,28.698
24.998,28.656
24.997,28.629
24.996,28.655
24.996,28.715
24.996,28.795
24.996,28.774
24.996,28.716
24.997,28.761
24.998,28.811
24.999,28.827
25.000,28.824
25.001,28.752
25.001,28.801
25.002,28.676
25.002,28.705
25.001,28.631
25.001,28.616
25.001,28.623
25.002,28.655
25.002,28.610
25.003,28.552
25.003,28.527
25.004,28.634
25.004,28.588
25.005,28.717
25.007,28.656
25.008,28.775
25.009,28.781
25.010,28.870
25.011,28.754
25.011,28.773
25.011,28.760
25.010,28.699
25.009,28.742
25.008,28.757
25.007,28.737
25.006,28.833
25.004,28.727
25.002,28.826
25.001,28.717
25.000,28.893
24.999,28.881
24.998,28.870
24.998,28.933
24.998,28.848
24.998,28.832
24.998,28.925
24.998,28.846
25.000,28.804
25.001,28.781
25.003,28.808
25.006,28.752
25.008,28.756
25.011,28.694
25.013,28.728
25.014,28.655
25.016,28.641
25.017,28.526
25.018,28.503
25.018,28.533
25.018,28.501
25.017,28.454
25.016,28.311
25.014,28.302
25.012,28.428
25.011,28.420
25.011,28.563
25.010,28.512
25.009,28.539
25.008,28.554
25.007,28.517
25.006,28.468
25.005,28.503
25.005,28.565
25.004,28.542
25.004,28.515
25.004,28.436
25.010,28.289
25.025,28.357
25.056,28.341
25.109,28.365
25.187,28.361
25.293,28.459
25.430,28.424
25.594,28.431
25.784,28.528
26.001,28.577
26.240,28.734
26.490,28.950
26.747,29.101
27.001,29.216
27.245,29.368
27.475,29.478
27.691,29.628
27.887,29.903
28.069,30.121
28.238,30.269
28.392,30.453
28.537,30.606
28.677,30.665
28.813,30.821
28.952,30.932
29.093,30.970
29.238,31.194
29.386,31.197
29.537,31.270
29.691,31.387
29.849,31.580
30.009,31.636
30.173,31.822
30.339,32.005
30.505,32.121
30.672,32.315
30.837,32.588
31.001,32.727
31.164,32.950
31.325,33.066
31.488,33.131
31.651,33.181
31.814,33.395
31.978,33.485
32.144,33.646
32.312,33.749
32.479,33.907
32.646,33.985
32.815,34.198
32.985,34.364
33.155,34.498
33.323,34.601
33.490,34.737
33.656,34.934
33.820,35.022
33.982,35.096
34.144,35.280
34.310,35.490
34.476,35.633
34.643,35.705
34.810,35.825
34.976,36.068
35.143,36.274
35.310,36.461
35.476,36.607
35.644,36.864
35.813,37.116
35.982,37.220
36.149,37.235
36.316,37.373
36.484,37.555
36.653,37.764
36.822,37.893
36.993,38.159
37.163,38.334
37.333,38.342
37.502,38.398
37.671,38.450
37.838,38.630
38.003,38.827
38.168,39.010
38.332,39.113
38.496,39.296
38.659,39.385
38.822,39.464
38.986,39.557
39.150,39.800
