t_s,t_h,V
29.769,0.008269,-0.202048436
90.092,0.025025,-0.204116061
147.502,0.040973,-0.206400461
207.479,0.057633,-0.207423158
270.371,0.075103,-0.207636595
331.349,0.092041,-0.207297668
388.624,0.107951,-0.205494925
448.851,0.124681,-0.203736261
509.749,0.141597,-0.201416180
571.238,0.158677,-0.199683815
629.777,0.174938,-0.198428452
690.540,0.191817,-0.196955070
751.057,0.208627,-0.195636392
808.537,0.224594,-0.193531923
869.948,0.241652,-0.191492476
930.189,0.258386,-0.189623341
989.328,0.274813,-0.187336117
1049.267,0.291463,-0.186090499
1110.573,0.308492,-0.185340792
1168.912,0.324698,-0.183653533
1227.403,0.340945,-0.181262851
1289.943,0.358318,-0.179907471
1351.310,0.375364,-0.177432030
1411.460,0.392072,-0.175760955
1470.331,0.408425,-0.173843622
1529.491,0.424859,-0.172533460
1590.960,0.441933,-0.171259686
1652.338,0.458983,-0.169761330
1709.461,0.474850,-0.168203205
1768.081,0.491134,-0.166406974
1829.862,0.508295,-0.164046206
1890.556,0.525155,-0.161761470
1950.390,0.541775,-0.159165822
2009.818,0.558283,-0.157665372
2071.075,0.575299,-0.154892012
2130.319,0.591755,-0.153235130
2190.152,0.608376,-0.150982395
2249.268,0.624797,-0.147835657
2310.249,0.641736,-0.143552125
2369.880,0.658300,-0.140145361
2431.207,0.675335,-0.137436084
2490.564,0.691823,-0.133426562
2548.848,0.708013,-0.129957154
2610.593,0.725165,-0.127152637
2671.603,0.742112,-0.121888310
2730.758,0.758544,-0.114763692
2789.345,0.774818,-0.107627258
2848.340,0.791206,-0.089300670
2911.277,0.808688,-0.074827500
2971.428,0.825397,-0.058779400
3029.539,0.841539,-0.051639959
3090.362,0.858434,-0.044174820
3150.471,0.875131,-0.034475897
3211.929,0.892202,-0.031296793
3269.733,0.908259,-0.028102767
3329.135,0.924760,-0.025338832
3389.829,0.941619,-0.023217448
3450.523,0.958479,-0.021014150
3509.926,0.974980,-0.019099386
3569.329,0.991480,-0.015650798
3630.023,1.008340,-0.013329093
3690.717,1.025199,-0.010826370
3750.120,1.041700,-0.008388833
3809.523,1.058201,-0.006741587
3870.217,1.075060,-0.004280565
3930.911,1.091920,-0.001659951
3990.314,1.108421,0.000627132
4049.717,1.124921,0.002972351
4109.120,1.141422,0.006321601
4169.814,1.158282,0.008778520
4230.508,1.175141,0.011854424
4289.911,1.191642,0.016171608
4349.314,1.208143,0.019819880
4410.008,1.225002,0.021503380
4470.702,1.241862,0.027787052
4530.105,1.258362,0.030553963
4587.663,1.274351,0.035002455
4648.089,1.291136,0.038158387
4708.313,1.307865,0.042714942
4770.299,1.325083,0.049150873
4832.285,1.342301,0.055997744
4891.196,1.358665,0.060150184
4951.208,1.375336,0.067972977
5011.600,1.392111,0.072604902
5070.511,1.408475,0.079640567
5129.422,1.424839,0.082590915
5189.758,1.441600,0.087577019
5250.073,1.458354,0.093825817
5308.984,1.474718,0.102555558
5367.648,1.491013,0.107973136
5428.074,1.507798,0.113988094
5488.299,1.524528,0.120848343
5550.285,1.541746,0.126658335
5612.270,1.558964,0.130351052
5671.181,1.575328,0.131930724
5731.428,1.592063,0.133994631
5791.832,1.608842,0.136781380
5850.497,1.625138,0.138743535
5909.408,1.641502,0.141440034
5969.744,1.658262,0.144264735
6030.058,1.675016,0.146484956
6088.969,1.691380,0.150009140
6147.880,1.707744,0.151441529
6208.295,1.724526,0.154177196
6268.531,1.741259,0.155745640
6330.270,1.758408,0.158863246
6392.256,1.775627,0.161994696
6451.167,1.791991,0.165812463
6511.414,1.808726,0.167687640
6571.817,1.825505,0.168688089
6630.728,1.841869,0.171278507
6689.639,1.858233,0.174261838
6749.964,1.874990,0.175521664
6810.044,1.891679,0.179045856
6868.955,1.908043,0.180063009
6927.865,1.924407,0.184108078
6988.280,1.941189,0.188645348
7048.516,1.957921,0.194337025
7108.964,1.974712,0.200669393
7170.950,1.991931,0.207078315
7231.398,2.008722,0.210866764
7290.598,2.025166,0.213178739
7351.803,2.042167,0.212511480
7410.714,2.058532,0.212611407
7469.624,2.074896,0.211737812
7529.950,2.091653,0.211479142
7590.275,2.108410,0.210259706
7649.186,2.124774,0.210356355
7708.097,2.141138,0.209204063
7768.266,2.157852,0.208751701
7828.502,2.174584,0.207706794
7888.950,2.191375,0.206858061
7950.936,2.208593,0.204801172
8011.384,2.225384,0.202831611
8071.620,2.242117,0.200921021
8132.035,2.258899,0.200467303
8190.946,2.275263,0.199212179
8249.611,2.291559,0.198495507
8309.936,2.308316,0.197809309
8370.261,2.325073,0.196589798
8429.172,2.341437,0.195218980
