Time_s,Sensor_negDegPLA,TempActual_C
141.714822,77.388086,24.163647
175.290937,77.384312,24.153890
193.370409,77.349430,24.148636
245.025912,77.255492,24.133625
332.840365,77.080234,24.177278
350.919804,77.056367,24.246285
402.575334,77.007945,24.502347
420.654786,76.994594,24.639721
456.813652,77.018750,24.914469
526.548660,77.121172,25.321622
544.628113,77.161930,25.332564
596.283678,77.292937,25.363830
614.363116,77.321258,25.374772
666.018774,77.373789,25.406038
684.098245,77.384109,25.416981
753.833220,77.363742,25.395189
771.912676,77.366492,25.337394
823.568186,77.347031,25.172266
841.647632,77.336828,25.114471
911.382532,77.331648,25.004373
999.196766,77.313258,24.942896
1017.276146,77.319555,24.934376
1050.852209,77.311148,24.918552
1087.010877,77.309289,24.897135
1123.169451,77.277070,24.881504
1174.824589,77.278070,24.872082
1192.903896,77.268734,24.868785
1210.983219,77.267656,24.865487
1244.559045,77.258141,24.859363
1280.717611,77.243055,24.859869
1420.186264,77.213938,24.912742
1438.265586,77.216273,24.922464
1489.920632,77.210531,24.946951
1526.079292,77.208477,24.960066
1665.547974,77.202766,25.007000
1683.627264,77.200922,25.013894
1701.706559,77.201391,25.020787
1735.282351,77.190641,25.027000
1753.361625,77.195508,25.027000
2016.802503,77.197812,25.035000
2052.961034,77.207047,25.034840
2086.536787,77.199445,25.031620
2104.616043,77.210344,25.031204
2122.695326,77.195641,25.030789
2192.429524,77.204602,25.020519
2210.508755,77.196539,25.015681
2246.667283,77.190891,25.010474
2280.243013,77.191914,25.009528
2437.790742,77.172406,25.004435
2455.870011,77.176492,25.002671
2492.028448,77.171539,24.998247
2561.762697,77.168156,24.988160
2579.841900,77.166422,24.985545
2649.576193,77.164828,24.980929
2685.734716,77.154969,24.982765
2703.813979,77.156117,24.981507
2755.469043,77.146953,24.977910
2773.548307,77.152180,24.976652
2791.627606,77.144758,24.975393
2843.282703,77.142898,24.973000
2861.361967,77.141367,24.973000
2949.175534,77.139164,24.973000
2967.254799,77.127422,24.973000
2985.334055,77.142992,24.973000
3003.413347,77.130508,24.973000
3073.147760,77.132375,24.969570
3142.882198,77.133336,24.961229
3160.961482,77.123984,24.959567
3230.695888,77.114820,24.956186
3248.775198,77.117891,24.955304
3284.933778,77.119500,24.953540
3336.588863,77.105648,24.951020
3354.668131,77.104008,24.950138
3372.747384,77.107789,24.949256
3406.323185,77.106086,24.947618
3424.402473,77.103750,24.946736
3442.481769,77.107359,24.945855
3478.640354,77.112156,24.943964
3530.295382,77.094297,24.940212
3548.374660,77.103758,24.938742
3566.453976,77.102891,24.937272
3636.188355,77.091367,24.931024
3654.267628,77.089562,24.928946
3672.346898,77.089930,24.926868
3690.426105,77.095016,24.924790
3829.895051,77.079617,24.918468
3847.974494,77.079297,24.917733
3971.947109,77.076625,24.927741
4005.522937,77.074258,24.932598
4023.602239,77.074172,24.935213
4041.681530,77.075578,24.937828
