Time_s,Bridge_BridgeSidsteTest,TempActual_C,TempTarget_C
0,NaN,24.997,25
54,NaN,24.992,24.999
109,NaN,24.904,24.992
162.04822764,166.8524742126,NaN,NaN
215,NaN,24.784,24.977
270.5240569,166.2313193083,NaN,NaN
322.17921502,165.9213751554,NaN,NaN
377,NaN,24.823,24.954
433.2377497,165.1428937912,NaN,NaN
487.47572478,164.543107152,NaN,NaN
541.71373998,164.0856266022,NaN,NaN
595.95165226,6.678679957986,NaN,NaN
649,NaN,24.937,24.917
704.42753782,163.4302139282,NaN,NaN
756.08265644,1.26806483604,NaN,NaN
810.3205818,6.719115190208,NaN,NaN
864.55857908,162.1589511633,NaN,NaN
917,NaN,24.898,24.879
973,NaN,24.894,24.872
1028,NaN,24.88,24.864
1083,NaN,24.866,24.856
1135.7483059,6.04997901246,NaN,NaN
1190,NaN,24.84,24.842
1244.22425426,158.0319404602,NaN,NaN
1296,NaN,24.834,24.827
1352,NaN,24.824,24.819
1404.35530368,153.0732512474,NaN,NaN
1458,NaN,24.809,24.804
1514,NaN,24.802,24.796
1569,NaN,24.803,24.789
1623.88971408,151.0520279408,NaN,NaN
1678.12768652,150.2392441034,NaN,NaN
1731,NaN,24.781,24.766
1784.02076612,147.4700123072,NaN,NaN
1838.25859974,145.999699831,NaN,NaN
1892.49648948,144.3113982677,NaN,NaN
1944.15161662,144.0114825964,NaN,NaN
1999,NaN,24.735,24.729
2052.62746794,141.7642235756,NaN,NaN
2109.44816828,140.1777416468,NaN,NaN
2163.68606502,138.5005712509,NaN,NaN
2216,NaN,24.698,24.699
2272,NaN,24.699,24.691
2323.81716224,131.3899606466,NaN,NaN
2378,NaN,24.687,24.677
2432.29308448,125.2952218056,NaN,NaN
2484,NaN,24.666,24.662
2538.18614656,2.668771427125,NaN,NaN
2592.42404064,91.88560396433,NaN,NaN
2646,NaN,24.637,24.639
2700.90000102,90.6018614769,NaN,NaN
2756,NaN,24.629,24.624
2809.37597628,89.65045958757,NaN,NaN
2863.6138361,2.579531166703,NaN,NaN
2917.85170826,2.479408169165,NaN,NaN
2972.08954502,2.337125129998,NaN,NaN
3023.74475902,84.82659608126,NaN,NaN
3080.56541428,83.5672840476,NaN,NaN
3134.80327778,81.86089992523,NaN,NaN
3189,NaN,24.571,24.564
3243.27906602,2.121181227267,NaN,NaN
3296,NaN,24.56,24.549
3349.17200674,75.80968737602,NaN,NaN
3403.40990772,73.73321056366,NaN,NaN
3457,NaN,24.518,24.527
3511.88577432,69.96545940638,NaN,NaN
3566.1236166,68.27126443386,NaN,NaN
3619,NaN,24.516,24.504
3675,NaN,24.493,24.496
3730,NaN,24.485,24.489
3783.0753113,59.17929112911,NaN,NaN
3837.31322832,56.56423792243,NaN,NaN
3891.55110016,0.1702471781755,NaN,NaN
3943.20629946,46.88017070293,NaN,NaN
3999,NaN,24.444,24.451
4051.68221238,37.53733634949,NaN,NaN
4105,NaN,24.433,24.437
4160,NaN,24.432,24.429
4214.39607154,21.81793749332,NaN,NaN
4268.63404942,14.76616691798,NaN,NaN
4322.87196448,10.77895332128,NaN,NaN
4377.10983172,-0.1669041084824,NaN,NaN
4431.34771516,4.883419722319,NaN,NaN
4485.5856833,2.658919198439,NaN,NaN
4539,NaN,24.38,24.376
4591.47875732,-0.5479406681843,NaN,NaN
4645.71676658,-8.702540770173,NaN,NaN
4699.9547127,-11.50738168508,NaN,NaN
4752,NaN,24.359,24.347
4808.43058258,-16.16322249174,NaN,NaN
4862,NaN,24.347,24.332
4917,NaN,24.342,24.324
4973,NaN,24.318,24.316
5027.96516164,-2.626458182931,NaN,NaN
5082.20322424,-69.78785246611,NaN,NaN
5134,NaN,24.297,24.294
5188.09638456,-71.2614133954,NaN,NaN
5242.33432378,-3.058934118599,NaN,NaN
5296,NaN,24.268,24.271
5350.8102164,-3.415795974433,NaN,NaN
5405.04825944,-74.5862647891,NaN,NaN
5457,NaN,24.245,24.249
5510.9413653,-75.77037066221,NaN,NaN
5565.17927062,-3.776440164074,NaN,NaN
5619,NaN,24.233,24.226
5671.0724222,-77.9068171978,NaN,NaN
5727.8930707,-79.3083012104,NaN,NaN
5781,NaN,24.205,24.204
5835,NaN,24.205,24.196
5890.60692176,-3.494501113892,NaN,NaN
5942.26208994,-82.49019831419,NaN,NaN
5996.49998676,-83.03239196539,NaN,NaN
6050.73794252,-85.13241261244,NaN,NaN
6104,NaN,24.15,24.159
6159,NaN,24.154,24.151
6213.45162998,-3.92216257751,NaN,NaN
6265.10674038,-87.77058124542,NaN,NaN
6321.92741948,-88.52475881577,NaN,NaN
6376.16529196,-89.22231197357,NaN,NaN
6430.40324514,-89.59823101759,NaN,NaN
6484.64119948,-90.37165343761,NaN,NaN
6538,NaN,24.118,24.099
6590.53423984,-91.69528633356,NaN,NaN
6644.7721226,-92.15144068003,NaN,NaN
6699,NaN,24.095,24.076
6750.66518994,-94.02092546225,NaN,NaN
6805,NaN,24.075,24.062
6859.14085172,-95.48426419497,NaN,NaN
6913.37875916,-96.24929726124,NaN,NaN
6970.1993872,-97.09972143173,NaN,NaN
7023,NaN,24.035,24.031
7076.09235284,-98.55658560991,NaN,NaN
7130.33023972,-99.06958043575,NaN,NaN
7184.56809786,-99.0853831172,NaN,NaN
7236.2232457,-4.53163869679,NaN,NaN
7291,NaN,23.999,23.994
7344.69895172,-99.63239729404,NaN,NaN
7398.9369085,-99.65489804745,NaN,NaN
7455.75752478,-99.96926039457,NaN,NaN
7509,NaN,23.962,23.964
7564.23320066,-99.7476130724,NaN,NaN
7620,NaN,23.93,23.948
7672.70883424,-99.45556521416,NaN,NaN
7726.9467386,-99.55829381943,NaN,NaN
7781.18465336,-99.7322127223,NaN,NaN
7832.83971606,-4.446515347809,NaN,NaN
7887.07762494,-4.090797621757,NaN,NaN
7941.31551332,-99.45921599865,NaN,NaN
7995.55341318,-99.24060851336,NaN,NaN
8049.79136862,-99.26100075245,NaN,NaN
8105,NaN,23.897,23.881
8158.26720302,-98.53640943766,NaN,NaN
8215.08784558,-98.31514954567,NaN,NaN
8267,NaN,23.871,23.859
8322,NaN,23.856,23.851
8377,NaN,23.843,23.843
8432.03932106,-4.105804953724,NaN,NaN
8484,NaN,23.831,23.828
8540.51508802,-96.58510237932,NaN,NaN
8594.75293306,-96.56109660864,NaN,NaN
8646.40802922,-96.26220911741,NaN,NaN
8700.6459045,-95.85030376911,NaN,NaN
8754.88380548,-3.967524971813,NaN,NaN
8806.53894652,-95.29495239258,NaN,NaN
8862,NaN,23.779,23.776
8915.01477452,-94.34672445059,NaN,NaN
8969.25265992,-94.47441250086,NaN,NaN
9024,NaN,23.766,23.753
9079,NaN,23.756,23.746
9134,NaN,23.748,23.738
9186.20438764,-0.4621324478649,NaN,NaN
9240,NaN,23.715,23.723
9297,NaN,23.711,23.716
9348.91822402,-89.74402397871,NaN,NaN
9403,NaN,23.71,23.701
9457.39423744,-88.294506073,NaN,NaN
9509.04949034,-87.56726235151,NaN,NaN
9565,NaN,23.675,23.678
9620,NaN,23.666,23.671
9671.76331122,-85.41817218065,NaN,NaN
9726.00114214,-82.89086073637,NaN,NaN
9782.82175288,-76.80234313011,NaN,NaN
9834.47687422,-3.116324311122,NaN,NaN
9888.71475012,-2.495737746358,NaN,NaN
9942.95265716,-61.42585724592,NaN,NaN
9995,NaN,23.639,23.619
10048.84562348,-43.47599297762,NaN,NaN
10105.66626488,-37.01919689775,NaN,NaN
10157.32135606,-33.9585877955,NaN,NaN
10214.141994,-31.19943849742,NaN,NaN
10268.37982964,-28.12927961349,NaN,NaN
10323,NaN,23.568,23.573
10379,NaN,23.562,23.565
10431.09335276,-24.53600615263,NaN,NaN
10485,NaN,23.547,23.551
10539.56902176,-0.9710201411508,NaN,NaN
10592,NaN,23.536,23.536
10647,NaN,23.524,23.528
10702.28257764,-17.61378906667,NaN,NaN
10753.93766608,-0.6201141513884,NaN,NaN
10810,NaN,23.527,23.505
10864.995963,-13.11615947634,NaN,NaN
10916.65104472,-11.74862403423,NaN,NaN
10970.888754,-9.859481826425,NaN,NaN
11025.1265217,-8.227075450122,NaN,NaN
11077,NaN,23.481,23.468
11131.01928966,-6.959214340895,NaN,NaN
11187.8398154,-5.738318432122,NaN,NaN
11239.49487646,-4.374106414616,NaN,NaN
11295,NaN,23.442,23.438
11350,NaN,23.432,23.43
11402.20821234,-0.7607967127115,NaN,NaN
11456.44603156,0.09887668420561,NaN,NaN
11510.6839542,1.257405150682,NaN,NaN
11563,NaN,23.405,23.401
11619,NaN,23.4,23.393
11670.81460142,5.506145767868,NaN,NaN
11725.05240954,7.08555849269,NaN,NaN
11781.8729546,8.721108548343,NaN,NaN
11836,NaN,23.373,23.363
11887.76579764,-0.2892564516515,NaN,NaN
11942.00359612,11.73261273652,NaN,NaN
11996.24137402,13.17605003715,NaN,NaN
