Time_s,RSSI
0,-54
24.444,-52
62.445,-46
100.448,-45
138.45,-47
176.451,-49
214.453,-50
252.456,-48
328.458,-52
366.461,-51
404.463,-48
442.464,-52
480.465,-51
518.469,-49
632.474,-50
708.476,-49
746.48,-51
822.484,-50
860.485,-49
898.488,-51
936.489,-52
974.491,-49
1012.494,-48
1050.496,-50
1088.498,-49
1164.504,-48
1202.506,-50
1240.509,-49
1278.51,-48
1392.52,-52
1430.522,-51
1468.524,-49
1506.526,-51
1582.532,-50
1620.534,-51
1658.536,-48
1696.541,-49
1734.546,-51
1772.549,-48
1810.551,-49
1848.554,-48
1886.558,-49
2000.566,-50
2038.57,-49
2114.573,-50
2152.577,-49
2228.581,-48
2304.588,-51
2342.593,-49
2380.596,-52
2418.597,-49
2456.601,-47
2494.604,-50
2532.606,-49
2608.609,-50
2646.611,-49
2722.616,-48
2836.621,-49
2874.624,-50
2950.626,-49
3026.629,-51
3064.63,-48
3102.633,-50
3178.636,-48
3254.64,-47
3292.641,-49
3330.643,-50
3368.646,-49
3406.648,-48
3444.652,-49
3482.653,-48
3596.661,-49
3672.666,-48
3748.669,-50
3786.674,-49
3862.68,-48
3938.688,-49
3976.689,-50
4014.693,-49
4128.697,-50
4204.702,-51
4242.707,-49
4318.711,-50
4394.717,-49
4546.726,-50
4584.729,-49
4660.735,-48
4698.738,-49
4774.74,-51
4812.744,-49
4964.754,-48
5040.758,-49
5192.77,-51
5230.772,-50
5268.774,-49
5306.776,-51
5344.78,-49
5382.782,-50
5420.783,-49
5534.788,-48
5610.79,-50
5686.796,-49
5838.805,-50
5990.816,-49
6028.818,-48
6066.822,-50
6104.826,-49
6180.829,-50
6218.832,-49
6256.834,-50
6294.837,-47
6332.84,-48
6370.842,-50
6408.846,-49
6446.848,-47
6484.85,-49
6522.852,-47
6560.855,-49
6598.857,-48
6636.859,-50
6674.863,-48
6712.865,-47
6750.869,-49
6788.871,-51
6864.878,-48
6902.883,-50
7016.894,-49
7130.901,-48
7168.903,-47
7206.906,-48
7244.912,-50
7282.914,-49
7320.915,-48
7358.918,-49
7396.918,-48
7434.92,-46
7472.922,-50
7510.925,-48
7548.927,-46
7586.928,-48
7624.93,-49
7662.933,-47
7700.935,-48
7738.938,-46
7776.939,-48
7814.942,-47
7966.952,-48
8118.963,-47
8194.968,-48
8270.974,-47
8346.978,-48
8384.983,-47
8460.988,-46
8498.989,-48
8574.995,-47
8689.006,-48
8727.009,-47
8765.012,-48
8841.018,-47
8917.026,-48
8955.033,-47
8993.035,-48
9031.037,-47
9069.041,-48
9221.053,-47
9373.066,-48
9525.078,-47
9563.081,-49
9601.084,-47
9677.089,-48
9715.095,-47
9829.103,-46
9867.105,-48
9905.11,-47
9943.113,-48
9981.115,-47
10057.121,-46
10095.125,-47
10133.127,-46
10171.128,-47
10399.146,-48
10437.149,-46
10475.15,-47
10513.154,-46
10589.16,-48
10627.163,-47
10817.174,-48
10855.178,-47
10931.181,-48
11007.189,-46
11045.191,-48
11083.195,-46
11121.198,-48
11235.211,-46
11273.214,-48
11349.22,-47
11387.223,-48
11425.227,-47
11463.229,-46
11501.232,-48
11539.236,-47
11577.241,-48
11653.249,-47
11691.252,-48
11729.254,-49
11767.257,-48
11843.263,-49
