Time_s,Peak_uA,Dip_uA
8.745,5963.368,0.348
26.245,5953.375,0.364
43.745,5960.148,0.364
61.245,5953.364,0.355
78.745,5958.337,0.373
96.245,5955.363,0.358
113.745,5947.636,0.296
131.245,5947.613,0.361
148.745,5938.248,0.367
166.245,5944.507,0.377
183.745,5945.574,0.367
201.245,5931.142,0.36
218.745,5936.828,0.353
236.245,5931.576,0.349
253.745,5942.88,0.346
271.245,5930.32,0.36
288.745,5935.046,0.351
306.245,5943.409,0.358
323.745,5936.839,0.36
341.245,5941.828,0.352
358.745,5942.69,0.357
376.245,5930.982,0.354
393.745,5936.133,0.352
411.245,5934.595,0.363
428.745,5927.841,0.36
446.245,5942.712,0.358
463.745,5935.375,0.36
481.245,5929.72,0.358
498.745,5926.068,0.366
516.245,5927.126,0.351
533.745,5944.016,0.37
551.245,5946.21,0.353
568.745,5933.722,0.365
586.245,5927.611,0.355
603.745,5924.488,0.354
621.245,5933.464,0.349
638.745,5926.492,0.351
656.245,5927.485,0.354
673.745,5914.826,0.363
691.245,5929.721,0.35
708.745,5919.196,0.346
726.245,5921.238,0.357
743.745,5912.344,0.355
761.245,5940.677,0.364
778.745,5928.913,0.352
796.245,5932.833,0.353
813.745,5924.662,0.357
831.245,5931.017,0.342
848.745,5918.534,0.344
866.245,5911.396,0.348
883.745,5918.229,0.352
901.245,5923.731,0.366
918.745,5915.52,0.359
936.245,5924.404,0.351
953.745,5921.072,0.358
971.245,5928.089,0.355
988.745,5917.541,0.363
1006.245,5926.809,0.362
1023.745,5924.934,0.347
1041.245,5913.436,0.35
1058.745,5924.708,0.342
1076.245,5915.997,0.342
1093.745,5909.804,0.347
1111.245,5913.311,0.355
1128.745,5918.611,0.351
1146.245,5909.665,0.343
1163.745,5936.02,0.374
1181.245,5922.505,0.375
1198.745,5932.121,0.363
1216.245,5924.147,0.356
1233.745,5915.976,0.371
1251.245,5928.745,0.365
1268.745,5921.951,0.375
1286.245,5930.399,0.371
1303.745,5917.627,0.365
1321.245,5920.925,0.381
1338.745,5900.724,0.362
1356.245,5915.904,0.355
1373.745,5913.204,0.361
1391.245,5903.672,0.355
1408.745,5912.073,0.356
1426.245,5935.901,0.364
1443.745,5919.685,0.337
1461.245,5920.218,0.353
1478.745,5903.283,0.35
1496.245,5906.21,0.359
1513.745,5902.875,0.358
1531.245,6185.135,0.348
1548.745,5912.034,0.353
1566.245,5893.496,0.352
1583.745,5907.929,0.355
1601.245,5910.936,0.358
1618.745,5902.871,0.365
1636.245,5913.423,0.358
1653.745,5910.172,0.366
1671.245,5914.199,0.364
1688.745,5907.542,0.353
1706.245,5920.854,0.359
1723.745,5922.305,0.37
1741.245,5904.23,0.364
1758.745,5923.111,0.379
1776.245,5922.439,0.369
1793.745,5907.223,0.36
1811.245,5930.484,0.371
1828.745,5917.686,0.357
1846.245,5913.19,0.352
1863.745,5911.354,0.361
1881.245,5912.669,0.354
1898.745,5906.423,0.365
1916.245,5906.166,0.365
1933.745,5916.32,0.356
1951.245,5898.999,0.358
1968.745,5904.675,0.352
1986.245,5910.522,0.362
2003.745,5908.553,0.355
2021.245,5895.049,0.348
2038.745,5908.557,0.359
2056.245,5911.813,0.349
2073.745,5911.266,0.364
2091.245,5900.596,0.349
2108.745,5902.174,0.35
2126.245,5909.468,0.367
2143.745,5906.451,0.361
2161.245,5905.642,0.372
2178.745,5903.571,0.356
2196.245,5903.713,0.347
2213.745,5917.441,0.367
2231.245,5914.477,0.362
2248.745,5906.777,0.354
2266.245,5904.096,0.367
2283.745,5891.859,0.353
2301.245,5899.847,0.355
2318.745,5880.435,0.358
2336.245,5890.987,0.347
2353.745,5910.11,0.364
2371.245,5897.566,0.363
2388.745,5909.125,0.367
2406.245,5911.505,0.38
2423.745,5913.88,0.361
2441.245,5913.99,0.366
2458.745,5911.023,0.362
2476.245,5914.971,0.368
2493.745,5890.101,0.349
2511.245,5894.811,0.353
2528.745,5905.385,0.358
2546.245,5882.013,0.361
2563.745,5875.616,0.348
2581.245,5895.334,0.362
2598.745,5892.932,0.357
2616.245,5891.88,0.349
2633.745,5884.523,0.361
2651.245,5896.856,0.357
2668.745,5894.903,0.368
2686.245,5887.766,0.362
2721.245,5906.059,0.372
2738.745,5876.923,0.36
2756.245,5899.654,0.358
2773.745,5894.173,0.363
2791.245,5895.753,0.353
2808.745,5900.698,0.359
2826.245,5887.487,0.361
2843.745,5895.241,0.351
2861.245,5896.338,0.35
2878.745,5896.906,0.355
2896.245,5898.428,0.366
2913.745,5894.827,0.368
2931.245,5910.573,0.374
2948.745,5889.448,0.369
2966.245,5894.511,0.374
2983.745,5911.781,0.373
3001.245,5880.497,0.363
3018.745,5894.968,0.366
3036.245,5892.648,0.364
3053.745,5887.207,0.362
3071.245,5894.482,0.356
3088.745,5882.204,0.362
3106.245,5876.599,0.359
3123.745,5888.062,0.355
3141.245,5865.284,0.361
3158.745,5889.626,0.365
3176.245,5888.663,0.362
3193.745,5885.045,0.362
3211.245,5883.713,0.362
3228.745,5880.747,0.36
3246.245,5879.456,0.357
3263.745,5884.012,0.372
3281.245,5877.163,0.363
3298.745,5887.028,0.362
3316.245,5882.577,0.355
3333.745,5880.375,0.359
3351.245,5879.724,0.364
3368.745,5873.19,0.36
3386.245,5887.556,0.361
3403.745,5880.164,0.363
3421.245,5870.915,0.352
3438.745,5882.89,0.357
3456.245,5884.922,0.354
3473.745,5887.543,0.352
3491.245,5873.185,0.36
3508.745,5876.897,0.347
3526.245,5875.6,0.345
3543.745,5864.836,0.348
3561.245,5873.355,0.364
3578.745,5873.707,0.355
3596.245,5884.555,0.361
3613.745,5876.078,0.364
3631.245,5888.943,0.361
3648.745,5892.721,0.371
3666.245,5875.532,0.366
3683.745,5883.31,0.368
3701.245,5882.415,0.364
3718.745,5887.478,0.375
