Time_s,ADC
0,0.0106
17.588,0.0118
30.229,0.0124
68.147,0.0112
80.794,0.0118
93.435,0.0124
106.08,0.013
118.732,0.0118
131.375,0.013
181.95,0.013
194.598,0.0142
207.245,0.0124
219.887,0.0142
245.179,0.013
257.82,0.0136
283.107,0.0154
295.751,0.013
308.398,0.0142
321.038,0.0154
333.681,0.0142
346.325,0.0148
371.613,0.0118
384.26,0.0148
409.556,0.0136
434.85,0.0148
447.495,0.0136
460.138,0.013
485.432,0.0136
498.078,0.0142
510.721,0.013
523.364,0.0136
536.006,0.0142
548.653,0.0112
586.592,0.0154
599.236,0.013
611.882,0.0148
624.529,0.0154
637.178,0.016
649.827,0.0154
675.122,0.0154
687.767,0.0148
700.415,0.0136
713.06,0.0142
725.707,0.0154
751.003,0.0142
776.305,0.0154
788.954,0.0142
801.604,0.016
814.252,0.0148
826.898,0.016
852.199,0.016
864.854,0.0154
902.805,0.0148
915.451,0.0136
928.103,0.0148
940.751,0.0142
966.051,0.0154
978.701,0.016
1004.001,0.0142
1016.663,0.016
1041.962,0.0148
1054.614,0.016
1092.57,0.016
1105.222,0.0154
1130.525,0.0166
1143.174,0.0148
1155.823,0.0171
1168.477,0.016
1193.778,0.0148
1206.423,0.0154
1219.073,0.0171
1231.724,0.0154
1244.377,0.0171
1257.028,0.0154
1282.327,0.0154
1294.976,0.0166
1332.933,0.016
1345.584,0.0154
1358.235,0.016
1370.884,0.0154
1421.499,0.0166
1434.155,0.0171
1459.466,0.0183
1472.119,0.0177
1510.08,0.016
1548.041,0.0177
1573.347,0.016
1585.999,0.0171
1598.654,0.0177
1636.618,0.0166
1649.258,0.0183
1661.877,0.0166
1687.112,0.0183
1699.73,0.0177
1712.349,0.0171
1724.965,0.0177
1737.58,0.0189
1750.2,0.0183
1813.282,0.0171
1825.898,0.0183
1838.516,0.0171
1851.137,0.0177
1888.992,0.0189
1914.228,0.0171
1926.843,0.0189
1939.462,0.0171
1952.08,0.0183
2002.554,0.0177
2015.174,0.0195
2040.416,0.0189
2053.036,0.0183
2065.658,0.0148
2078.277,0.0177
2090.898,0.0183
2116.14,0.0189
2141.378,0.0195
2166.615,0.0189
2179.239,0.0177
2191.854,0.0183
2204.474,0.0189
2217.093,0.0177
2267.57,0.0201
2280.191,0.0195
2292.81,0.0189
2305.428,0.0201
2318.05,0.0195
2330.669,0.0183
2368.524,0.0207
2406.389,0.0195
2419.014,0.0189
2431.64,0.0195
2456.878,0.0189
2532.62,0.0201
2557.867,0.0207
2583.122,0.0195
2608.373,0.0201
2621,0.0195
2633.624,0.0207
2658.876,0.0189
2684.126,0.0207
2696.749,0.0213
2747.263,0.0201
2759.888,0.0195
2772.51,0.0189
2785.14,0.0195
2810.393,0.0195
2823.02,0.0213
2835.646,0.0207
2860.894,0.0201
2873.519,0.0195
2898.773,0.0207
2924.026,0.0195
2936.651,0.0207
2961.902,0.0195
2974.528,0.0201
2999.773,0.0207
3025.014,0.0195
3037.634,0.0207
3050.258,0.0213
3062.886,0.0219
3075.511,0.0201
3088.136,0.0213
3113.391,0.0201
3126.016,0.0213
3138.641,0.0207
3151.262,0.0213
3163.887,0.0219
3176.509,0.0207
3214.377,0.0207
3226.999,0.0219
3239.629,0.0225
3252.254,0.0219
3264.881,0.0207
3277.509,0.0213
3302.765,0.0207
3315.39,0.0219
3328.016,0.0207
3340.647,0.0213
3365.901,0.0225
3378.528,0.0219
3416.412,0.0213
3441.674,0.0207
3454.307,0.0225
3466.937,0.0213
3504.825,0.0201
3517.451,0.0213
3542.712,0.0201
3567.962,0.0213
3580.592,0.0207
3593.219,0.0213
3605.853,0.0219
3618.481,0.0207
3656.372,0.0213
3681.634,0.0207
3694.265,0.0201
3706.897,0.0219
3719.523,0.0225
3732.152,0.0207
3757.405,0.0201
3770.039,0.0213
3782.671,0.0201
3795.299,0.0219
3807.93,0.0213
3833.196,0.0213
3858.459,0.0219
3871.087,0.0201
3896.344,0.0207
3921.605,0.0201
3934.239,0.0213
3959.508,0.0213
3972.142,0.0201
3997.404,0.0213
4010.034,0.0219
4022.665,0.0213
4035.296,0.0201
4060.558,0.0213
4073.185,0.0219
4085.814,0.0201
4098.446,0.0219
4111.078,0.0207
4161.611,0.0201
4186.872,0.0201
4199.506,0.0219
4212.141,0.0213
4224.776,0.0207
4237.404,0.0219
4250.039,0.0207
4287.951,0.0219
4300.585,0.0207
4313.212,0.0236
4325.847,0.0207
4351.111,0.0219
4363.746,0.0225
4389.018,0.0207
4401.654,0.0219
4414.288,0.0195
4426.925,0.0201
4439.561,0.0213
4452.198,0.0219
4477.475,0.0207
4490.114,0.0213
4502.754,0.0189
4515.39,0.0213
4528.032,0.0231
4540.672,0.0219
4565.947,0.0213
4578.585,0.0207
4591.221,0.0213
4603.859,0.0225
4616.498,0.0213
4667.048,0.0213
4679.687,0.0225
4692.324,0.0207
4704.959,0.0231
4717.603,0.0236
4730.242,0.0242
4755.516,0.0231
4780.793,0.0219
4793.426,0.0231
4818.694,0.0236
4843.963,0.0231
4856.602,0.0225
4881.884,0.0242
4894.525,0.0219
4907.164,0.0236
4919.806,0.0225
4932.448,0.0213
4945.086,0.0225
4982.999,0.0219
5008.284,0.0231
5020.92,0.0236
5033.554,0.0231
5046.195,0.0236
5058.834,0.0231
5096.739,0.0242
5109.381,0.0231
5122.017,0.0236
5134.655,0.0231
5172.572,0.0225
5185.215,0.0242
5210.496,0.0242
5223.131,0.0231
5235.772,0.0225
5273.694,0.0231
5286.336,0.0242
5298.976,0.0248
5336.9,0.0231
5362.186,0.0242
5374.827,0.0231
5387.464,0.0242
5412.75,0.0236
5425.389,0.0242
5450.671,0.0242
5463.314,0.0248
5475.958,0.0242
5488.602,0.0231
5501.244,0.0242
5526.525,0.0225
5539.169,0.0231
5551.81,0.0242
5564.455,0.0248
5577.103,0.0231
5589.749,0.0254
5627.685,0.0242
5640.332,0.0236
5652.979,0.0248
5665.625,0.0242
5678.277,0.0266
5690.924,0.026
5716.221,0.0242
5728.866,0.0231
5741.515,0.0242
5766.811,0.0236
5779.458,0.0231
5792.104,0.0248
5817.395,0.0254
5830.044,0.0225
5842.692,0.0248
5855.342,0.0236
5867.99,0.0231
5880.634,0.0236
5905.931,0.0231
5943.873,0.0248
5956.522,0.0231
5969.172,0.0236
5981.821,0.0242
5994.472,0.0236
6019.769,0.0254
6032.414,0.0242
6057.715,0.0248
6070.364,0.0242
6083.012,0.0236
6095.658,0.0242
6133.597,0.0236
6146.243,0.0242
6158.89,0.0231
6171.54,0.0248
6196.832,0.0236
6209.479,0.0248
6234.781,0.0248
6247.431,0.0231
6260.079,0.0248
6272.723,0.026
6285.371,0.0236
6298.021,0.0242
6323.324,0.0236
6335.973,0.0231
