Time_s,Temp_C
0,31.35
4.966,30.85
42.888,32.1
55.53,31.35
68.17,31.6
80.816,29.85
93.459,30.6
106.103,30.85
118.754,30.6
131.397,31.1
169.332,30.85
181.974,32.1
194.62,30.85
207.268,29.85
219.91,31.1
232.557,30.6
245.202,30.85
257.843,30.35
283.13,30.6
295.774,30.1
308.42,30.85
321.061,29.85
346.349,31.1
358.993,28.6
371.636,30.1
384.282,29.6
447.519,30.35
460.162,28.6
485.454,30.1
498.1,29.6
510.743,29.85
523.386,29.6
536.029,28.35
548.676,29.6
561.326,28.35
573.969,29.6
586.615,28.85
599.259,29.6
611.906,28.6
624.553,29.85
637.202,28.6
649.85,29.85
675.146,28.35
700.438,29.6
713.083,29.85
725.729,28.85
738.38,28.6
776.329,28.35
788.977,28.85
814.275,28.35
826.921,29.6
839.569,29.85
852.223,27.6
864.878,28.35
877.527,28.6
890.179,28.35
902.829,28.85
915.475,29.35
928.126,28.35
940.775,28.85
966.075,26.85
978.724,28.35
991.375,28.85
1004.024,29.1
1016.687,27.6
1029.337,28.6
1041.986,28.85
1067.29,29.6
1079.943,28.35
1105.244,29.6
1117.9,28.6
1130.548,29.1
1143.198,28.1
1155.847,30.1
1168.501,28.6
1181.151,27.6
1193.801,28.35
1244.399,28.6
1257.051,28.35
1269.699,28.85
1282.35,29.85
1295,27.35
1307.653,29.6
1320.305,28.6
1345.607,28.35
1358.257,28.6
1370.907,28.85
1383.561,29.85
1396.215,28.35
1408.869,29.1
1421.524,29.85
1434.178,28.85
1446.832,28.6
1459.489,28.85
1472.142,28.35
1484.8,29.6
1497.453,28.6
1535.414,28.85
1548.065,29.85
1560.719,28.85
1573.371,28.35
1598.676,29.1
1611.333,28.1
1624.002,28.35
1636.64,28.85
1649.28,27.85
1661.901,28.35
1674.518,28.1
1687.135,28.6
1699.754,28.85
1712.372,29.6
1724.988,27.6
1737.604,28.6
1750.223,28.35
1762.839,28.85
1775.456,28.35
1788.073,28.85
1800.689,29.6
1825.921,28.85
1838.539,27.85
1851.159,28.6
1863.781,28.35
1876.4,28.6
1901.631,29.85
1914.25,28.85
1926.867,27.6
1939.485,27.1
1952.103,28.85
1964.72,27.35
1977.338,28.6
1989.959,28.85
2040.44,27.6
2053.06,28.85
2065.68,29.1
2078.3,28.6
2103.543,28.35
2116.164,28.85
2128.781,28.35
2141.402,27.35
2154.02,28.35
2166.638,28.85
2179.262,28.35
2191.877,28.85
2204.499,29.1
2217.116,28.35
2242.356,27.35
2254.976,28.85
2292.833,27.6
2318.074,28.35
2330.693,28.85
2343.312,28.6
2355.93,28.85
2368.547,28.6
2381.172,27.6
2393.791,28.6
2406.412,29.6
2419.038,28.1
2431.663,29.35
2444.283,28.85
2456.902,29.6
2469.523,27.35
2482.145,28.6
2494.769,28.85
2507.391,28.6
2520.016,28.85
2532.642,28.6
2545.267,28.35
2557.89,28.85
2570.519,28.35
2583.147,28.1
2595.77,27.6
2608.397,28.35
2621.023,27.1
2633.648,28.35
2658.898,29.1
2671.524,29.35
2684.149,28.35
2696.772,27.35
2709.399,28.35
2722.028,29.6
2747.285,27.85
2759.91,29.6
2772.533,27.6
2785.162,28.35
2797.788,28.6
2810.418,28.35
2823.044,28.85
2848.296,28.6
2860.917,28.35
2886.17,28.85
2898.796,28.35
2911.423,29.1
2924.048,27.6
2936.675,28.85
2961.926,30.1
2974.552,29.6
2987.175,29.35
2999.797,28.85
3012.419,28.6
3025.038,28.35
3037.657,28.85
3050.282,29.85
3062.91,28.6
3075.535,28.85
3088.16,29.1
3100.785,28.85
3113.415,29.1
3126.04,27.85
3138.665,28.85
3151.286,28.35
3163.91,27.6
3176.532,28.85
3214.401,28.6
3227.023,27.6
3239.653,29.6
3252.278,28.85
3264.905,29.6
3277.533,28.85
3290.159,27.1
3302.789,28.35
3315.414,28.6
3340.669,27.6
3353.297,28.6
3365.925,28.35
3378.551,28.85
3391.178,29.6
3403.809,28.35
3416.434,28.6
3441.696,28.85
3466.96,27.6
3479.593,28.6
3492.22,28.85
3504.849,28.35
3517.475,28.85
3530.107,28.6
3542.734,28.35
3555.354,28.6
3567.986,28.85
3593.242,28.35
3605.877,29.6
3618.504,28.6
3631.137,28.35
3643.764,30.1
3656.396,28.85
3669.024,28.35
3681.656,28.6
3694.288,28.85
3706.92,27.35
3719.546,28.35
3732.176,29.6
3744.801,28.35
3757.428,29.85
3770.062,28.6
3782.694,28.85
3795.323,28.6
3807.953,28.85
3820.589,29.85
3833.219,28.85
3858.481,28.6
3871.11,28.85
3883.739,28.6
3896.368,28.35
3909.001,28.6
3921.629,29.6
3934.262,28.85
3946.896,29.1
3959.532,27.35
3972.166,28.85
3984.798,28.6
3997.428,28.35
4010.057,27.6
4022.687,28.85
4035.318,28.35
4047.951,28.85
4060.582,28.35
4073.208,28.85
4085.838,28.35
4098.469,28.85
4123.734,28.1
4148.998,28.85
4161.635,28.35
4174.264,27.6
4186.894,29.35
4199.53,28.85
4224.799,29.6
4237.428,28.85
4262.697,30.1
4275.332,29.35
4287.974,28.35
4300.608,27.6
4313.236,29.6
4325.87,28.35
4338.501,28.6
4351.134,29.1
4363.769,28.35
4376.405,28.6
4389.042,28.85
4401.676,27.6
4414.311,28.85
4426.948,27.6
4439.584,28.35
4452.222,28.6
4464.859,28.85
4477.499,28.35
4490.136,29.6
4515.413,28.6
4528.055,28.35
4540.695,28.85
4553.333,28.35
4565.971,28.85
4578.609,28.35
4591.244,28.85
4616.521,28.6
4629.161,27.85
4641.804,28.6
4654.439,29.35
4667.072,28.6
4679.71,29.1
4717.625,28.85
4730.265,28.35
4755.538,28.6
4768.18,28.1
4780.816,28.6
4793.45,28.85
4806.083,28.35
4831.351,28.6
4843.987,29.85
