Time_s,preStretchTest_2x24compress_Raw,preStretchTest_2x24compress_DeltaPct,preStretchTest_1x24compress_Raw,preStretchTest_1x24compress_DeltaPct,preStretchTest_2x24stretch_Raw,preStretchTest_2x24stretch_DeltaPct,preStretchTest_1x24stretch_Raw,preStretchTest_1x24stretch_DeltaPct,preStretchTest_rest_Raw,preStretchTest_rest_DeltaPct
0,93.2552734375,0.132414609982978,110.5963203125,0.170900774877077,145.3149375,0.00190323010408409,128.034265625,-0.00154985404524607,117.607265625,0.0669052388496998
0.08259676,NaN,NaN,NaN,NaN,145.331828125,0.0135269122650687,NaN,NaN,NaN,NaN
0.08259746,NaN,NaN,NaN,NaN,NaN,NaN,128.0733203125,0.0289529820656197,NaN,NaN
0.08260536,93.2210546875,0.0956723868771598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.08260956,NaN,NaN,110.5413828125,0.12114198682907,NaN,NaN,NaN,NaN,NaN,NaN
0.08261854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.6044375,0.0644989103386676
0.16518888,NaN,NaN,NaN,NaN,NaN,NaN,128.0835546875,0.0369463237950208,NaN,NaN
0.16519794,NaN,NaN,NaN,NaN,145.331859375,0.0135484176899778,NaN,NaN,NaN,NaN
0.16520992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.6014140625,0.0619263989194049
0.16522318,NaN,NaN,110.5663671875,0.143771196751931,NaN,NaN,NaN,NaN,NaN,NaN
0.16523726,93.2198515625,0.0943805370236635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.24779202,NaN,NaN,NaN,NaN,145.33890625,0.0183978910060028,NaN,NaN,NaN,NaN
0.24782092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5923984375,0.0542553958759281
0.24782148,NaN,NaN,NaN,NaN,NaN,NaN,128.0312890625,-0.00387463511309297,NaN,NaN
0.24784176,NaN,NaN,110.539359375,0.119309289715242,NaN,NaN,NaN,NaN,NaN,NaN
0.24784434,93.217,0.0913186850981799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33040854,NaN,NaN,NaN,NaN,145.35215625,0.0275161911656048,NaN,NaN,NaN,NaN
0.33041898,NaN,NaN,NaN,NaN,NaN,NaN,128.0516875,0.0120571322574807,NaN,NaN
0.33044614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5286328125,0
0.33045274,NaN,NaN,110.5348203125,0.115198104297736,NaN,NaN,NaN,NaN,NaN,NaN
0.3304603,93.2013125,0.0744743051903055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41302724,NaN,NaN,NaN,NaN,145.3475,0.0243118828547938,NaN,NaN,NaN,NaN
0.4130451,NaN,NaN,NaN,NaN,NaN,NaN,128.016390625,-0.0155107440275559,NaN,NaN
0.41304692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5675,0.0330703987359367
0.41305342,NaN,NaN,110.53453125,0.11493629042433,NaN,NaN,NaN,NaN,NaN,NaN
0.41305538,93.2405703125,0.116627198137054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.49562914,NaN,NaN,NaN,NaN,145.317578125,0.00372043850853177,NaN,NaN,NaN,NaN
0.49565,NaN,NaN,NaN,NaN,NaN,NaN,128.0969453125,0.0474047877066079,NaN,NaN
