Time_s,WheatstoneBasic2_Value
0,188.0242675543
0.08263806,187.8814101219
0.16529658,187.8887861967
0.2479321,188.00149858
0.33059258,188.1231367588
0.41322108,188.3995682001
0.4958598,188.3184611797
0.57849936,188.1986856461
0.66114964,187.9816502333
0.74377212,187.9355460405
0.82642116,187.85405159
0.90906102,187.946587801
0.99171772,188.2382929325
1.07434442,188.3539110422
1.1569671,188.2531344891
1.23961494,188.1608068943
1.32226296,188.1632357836
1.40489056,188.0420595407
1.48753916,188.1183236837
1.57016978,188.1969720125
1.65281712,188.4523034096
1.73544128,188.5855793953
1.81808866,188.5474771261
1.90072208,188.3857995272
1.98335812,188.2635056973
2.06600894,188.372567296
2.14862432,188.3551031351
2.23126814,188.6843889952
2.31390854,188.9654397964
2.39656484,188.4831637144
2.47920282,188.4372532368
2.56185178,187.8872215748
2.64447798,188.0192309618
2.727111,188.1149560213
2.80973094,188.2338225842
2.89236292,188.65211308
2.97500096,188.8608336449
3.05765564,188.5362416506
3.1402898,178.2168447971
3.22289916,56.82090297341
3.30552988,-84.87905561924
3.3881452,-194.0818578005
3.47078246,-206.2143981457
3.55339668,-204.341545701
3.63603714,-203.1084299088
3.71868108,-202.8181701899
3.80131358,-200.5258351564
3.88393668,-201.1689096689
3.96659222,-200.8808404207
4.04921632,-200.6920129061
4.13185186,-200.3966867924
4.21447584,-198.3566582203
4.29711054,-197.5865960121
4.37974404,-197.0484256744
4.4623766,-196.8280076981
4.54501742,-195.2730566263
4.62765162,-195.0960457325
4.7102779,-194.6864724159
4.79290396,-194.4124996662
4.8755413,-193.6536133289
4.9581992,-193.7529593706
5.04084358,-193.5513615608
5.123474,-193.4917122126
5.20609734,-193.1267082691
5.28875416,-192.5317794085
5.37138454,-191.6570067406
5.4540182,-191.459774971
5.53664336,-190.5992925167
5.61926796,-190.4352903366
5.70191422,-190.5043423176
5.78453198,-190.3984248638
5.86717088,-190.2735829353
5.94980898,-189.6606683731
6.03244512,-188.8641119003
6.11506348,-187.0965510607
6.1976881,-186.0013604164
6.28030224,-184.8796606064
6.36292872,-185.2233111858
6.4455596,-166.752204299
6.52819752,-68.65201145411
6.61083538,66.1409124732
6.69347554,158.5477143526
6.7761255,164.8655682802
6.85875496,166.7680442333
6.94138694,169.0156161785
7.02402716,170.9952503443
7.10668874,171.9953417778
7.18931914,172.4994331598
7.27193724,173.5248267651
7.35456138,173.9322543144
7.4371851,174.3351072073
7.5198238,175.1419454813
7.60244224,175.7948249578
7.68506772,175.8422404528
7.7676983,175.8099496365
7.8503465,176.1362999678
7.93298216,176.7456978559
8.01560786,177.4279773235
8.09822884,178.0604273081
8.18087336,178.2755404711
8.2634953,178.6192804575
8.34611726,178.7314414978
8.42876866,179.025888443
8.51139586,179.3170571327
8.59401054,179.4817298651
8.6766429,179.4299781322
8.75929364,180.0517886877
8.84193086,180.0783872604
8.92457922,180.1759600639
9.00719398,180.3388148546
9.08982256,180.4388314486
9.17244722,180.30372262
9.25510244,180.9300333261
9.33771866,181.0972988605
9.4203333,180.8952093124
9.50297632,181.3344806433
9.58561654,181.6018968821
9.66823432,181.6591322422
9.7508588,181.4753562212
9.83348892,181.6211938858
9.9161153,181.9462925196
9.99874148,181.8808466196
10.08136622,181.859433651
10.1639894,181.7786544561
10.24660864,181.4196556807
10.3292329,180.7318180799
10.41189198,181.0876727104
10.4945224,181.0243427753
10.5771758,180.936679244
10.65980486,180.6153208017
10.7424289,179.8785626888
10.82506502,179.7414273024
10.90768918,179.0298223495
10.99030428,178.5084754229
11.0729341,178.4021258354
11.15555774,177.9111772776
11.23817658,177.5341331959
11.32078866,176.4139384031
11.4034282,175.7080554962
11.4860812,175.2487868071
11.56870744,175.042077899
11.6513396,174.3018627167
11.73395978,173.7609952688
11.81657128,173.1730103493
11.8992154,172.3551899195
11.98184538,171.3374257088
12.06446468,170.2475845814
12.14710652,168.8731908798
12.22973256,168.3221459389
12.31237556,167.2598421574
12.39500346,166.3458943367
12.4776482,165.5252128839
12.56027546,163.7459248304
12.64291462,162.3404622078
12.72554106,161.1280888319
12.80818636,159.571364522
12.8908113,158.5656106472
12.97344328,157.6270163059
13.0560903,156.3083231449
13.13872278,153.9614498615
13.22135006,152.1343886852
13.30396576,149.6785879135
13.38658516,148.3715176582
13.46922192,146.4413106441
13.55184332,143.6275094748
13.63447276,140.4944658279
13.71712848,137.1568292379
13.79975242,134.3391984701
13.8823719,132.21180439
13.96502682,127.0165145397
14.04765032,123.3658194542
14.13030452,120.6502988935
14.21292802,116.1168143153
14.29554324,111.558303237
14.37818708,109.1128215194
14.46081246,104.0613800287
14.54343106,101.1731773615
14.62606424,94.73345428705
14.70870882,91.43771231174
14.79135088,89.54570442438
14.87399636,87.19014376402
14.95665086,82.58907496929
15.03929394,75.28609782457
15.12192582,67.58649647236
15.20454638,62.97644227743
15.28717274,55.30159920454
15.36980638,48.20371046662
15.4524241,43.10885071754
15.5350646,41.98981076479
15.61771174,39.44174945354
15.700332,36.02451831102
15.78298602,32.77231380343
15.8656053,29.659897089
15.94823296,28.55294197798
16.03086762,24.76275339723
16.11350752,20.20126953721
16.19612758,18.51545833051
