Time_s,Voltage_V
0.000,0.5935
116.334,0.5793
239.797,0.5828
369.246,0.5864
489.379,0.6
612.834,0.5698
739.557,0.5539
860.147,0.542
980.888,0.4492
1101.755,0.3895
1225.976,0.3647
1347.141,0.3647
1473.552,0.3801
1593.241,0.3482
1709.887,0.3659
1823.494,0.3535
1956.252,0.3529
2076.531,0.3275
2196.920,0.3505
2320.623,0.3322
2444.469,0.3074
2568.496,0.3298
2688.468,0.3003
2808.257,0.3015
2931.360,0.2837
3066.258,0.2902
3180.170,0.2808
3306.829,0.2666
3421.035,0.2548
3547.976,0.2642
3705.755,0.2388
3826.659,0.2394
3946.590,0.2418
4069.571,0.2122
4192.708,0.2211
4319.212,0.2022
4436.384,0.1696
4556.860,0.1496
4677.517,0.1336
4804.592,0.1383
4928.697,0.0349
5049.790,0.0254
5166.680,0.013
5289.651,0.0089
5419.099,-0.0266
5536.055,-0.0207
5656.315,-0.0845
5776.629,-0.123
5903.430,-0.175
6028.294,-0.2784
6152.264,-0.2731
6269.973,-0.279
6389.580,-0.2908
6509.297,-0.2997
6632.325,-0.2914
6768.065,-0.3103
6888.233,-0.3251
7005.336,-0.3275
7138.406,-0.3417
7258.997,-0.3245
7376.552,-0.3174
7506.938,-0.3334
7623.467,-0.3281
7743.258,-0.3328
7860.050,-0.3157
7973.815,-0.3127
8106.619,-0.3287
8220.636,-0.3186
8344.334,-0.3091
8464.989,-0.2477
8598.516,-0.2217
8728.989,-0.2104
8852.278,-0.2128
8971.989,-0.2104
9101.296,-0.1797
9227.617,-0.1679
9347.701,-0.1744
9471.133,-0.1631
9588.401,-0.1295
9702.626,-0.1117
9826.487,-0.078
9950.220,-0.0715
10069.809,-0.0479
10189.516,-0.0301
10312.512,0.0
10429.345,0.0443
10552.627,0.0887
10669.732,0.1105
10790.136,0.1472
10920.163,0.1844
11044.023,0.2093
11168.009,0.2234
11284.947,0.2223
11404.935,0.2341
11531.328,0.2406
11648.436,0.2725
11765.637,0.2678
11904.216,0.2902
12024.913,0.2956
12152.099,0.3097
12276.270,0.3127
12400.605,0.3192
12521.254,0.3334
12647.256,0.3292
12767.080,0.3499
12890.230,0.344
13016.653,0.3653
13136.921,0.4339
13254.137,0.4705
13374.694,0.4865
13495.339,0.5089
13612.964,0.5255
13735.850,0.5509
13858.645,0.5698
13984.703,0.5958
14104.632,0.5982
14227.854,0.6065
14348.086,0.6142
14462.105,0.6419
14588.945,0.626
14709.576,0.6207
14827.159,0.6378
14950.592,0.6077
15064.210,0.6012
15184.276,0.6053
15304.477,0.61
15428.012,0.6059
15563.333,0.587
15751.497,0.5834
15881.830,0.5616
16002.806,0.5255
16127.109,0.5125
16269.085,0.3978
16388.719,0.396
16511.615,0.4031
16628.337,0.4031
16751.513,0.4073
16868.507,0.4079
16988.814,0.3848
17115.573,0.3955
17236.184,0.3635
17353.751,0.3759
17476.924,0.3564
17593.365,0.3488
17713.114,0.3594
17836.145,0.3423
17956.181,0.3292
18076.326,0.3062
18193.434,0.3003
18310.686,0.2914
18437.625,0.2636
18551.993,0.269
18666.301,0.2648
18790.865,0.2276
18917.186,0.2246
19037.289,0.2093
19163.916,0.1939
19281.212,0.1714
19411.292,0.1732
19541.543,0.1578
19671.979,0.1419
19793.044,0.0343
19910.755,0.013
20033.469,0.0006
20156.369,-0.0491
20273.109,-0.0715
20402.591,-0.1312
20525.884,-0.1389
20646.183,-0.1566
20766.591,-0.2429
20890.330,-0.2666
21014.209,-0.2755
21137.624,-0.2731
21257.285,-0.2725
21373.930,-0.2849
21503.343,-0.2979
21629.717,-0.3162
21756.215,-0.3139
21876.575,-0.3038
22000.236,-0.2944
22136.689,-0.2861
22263.813,-0.2796
22377.824,-0.2814
22491.250,-0.2967
22617.378,-0.2826
22737.393,-0.2441
22854.388,-0.2223
22981.013,-0.1968
23101.446,-0.1951
23225.173,-0.1803
23342.725,-0.1602
23476.323,-0.1655
23597.057,-0.1661
23710.431,-0.1235
23827.078,-0.1129
23947.019,-0.065
24079.690,-0.0562
24196.748,-0.0443
24320.299,-0.0231
24447.134,-0.0112
24567.764,0.0
24698.089,0.0361
24814.838,0.052
24934.531,0.1407
25060.627,0.1484
25174.259,0.1791
25297.499,0.2093
25417.712,0.2323
25546.609,0.2506
25667.114,0.24
25800.344,0.2607
25924.267,0.2725
26051.086,0.2861
26167.668,0.2855
26287.585,0.2985
26410.828,0.3281
26527.886,0.3399
26648.235,0.3399
26765.557,0.3606
26898.866,0.3499
27019.660,0.3517
27134.202,0.4138
27255.239,0.4646
27372.324,0.4841
27488.916,0.5149
27608.752,0.5367
27728.772,0.5491
27852.064,0.5545
27969.147,0.5675
28092.748,0.5799
28206.965,0.5935
28388.778,0.5976
28512.559,0.6124
28635.294,0.6337
28767.610,0.636
28887.462,0.6544
29020.014,0.6378
29146.445,0.6526
29273.016,0.6378
29396.632,0.6266
29517.173,0.636
29649.567,0.6319
29797.914,0.6354
29924.139,0.626
30044.094,0.5887
30167.335,0.6106
30284.405,0.584
30398.473,0.5769
30518.999,0.5568
30633.330,0.5456
30754.117,0.5621
30871.901,0.5285
30986.619,0.5131
31110.367,0.4185
31230.022,0.415
31349.802,0.412
31466.577,0.4138
31596.067,0.3878
31713.098,0.3848
31842.932,0.3724
31963.427,0.3771
32084.056,0.37
32226.039,0.344
32352.172,0.3499
32483.560,0.3239
32603.410,0.3204
32738.234,0.3198
32855.233,0.2896
32975.499,0.266
33099.064,0.2713
33216.399,0.2489
33343.411,0.2447
33461.051,0.2258
33578.453,0.2128
33695.170,0.2063
33815.186,0.1903
33938.514,0.1744
34052.490,0.1525
34176.034,0.1519
34296.657,0.1105
34417.404,0.0095
34541.482,-0.0219
34659.372,-0.0898
34786.574,-0.133
34903.164,-0.1425
35023.040,-0.1685
35143.073,-0.2382
35275.919,-0.2731
35393.088,-0.2766
35513.552,-0.279
35634.144,-0.2731
35761.268,-0.2926
35878.968,-0.2725
36002.399,-0.305
36125.174,-0.2814
36245.019,-0.2932
36371.273,-0.3056
36491.360,-0.3015
36605.280,-0.3038
36731.958,-0.2967
36846.142,-0.2849
36973.109,-0.2713
37090.718,-0.2636
37207.970,-0.2205
37333.965,-0.2039
37460.072,-0.198
37586.401,-0.1785
37712.878,-0.1773
37833.158,-0.1454
37953.624,-0.1259
38074.213,-0.0975
38191.750,-0.0715
38312.596,-0.0632
38430.257,-0.0461
38553.087,-0.0248
38672.910,-0.0118
38789.667,0.0071
38919.220,0.0112
39041.597,0.0343
39155.630,0.0331
39276.153,0.0987
39393.596,0.136
39523.849,0.1714
39643.906,0.2128
39766.653,0.211
39895.857,0.2465
40009.446,0.2471
40132.646,0.2571
40246.508,0.282
40379.414,0.2802
40499.862,0.3115
40620.468,0.3115
40741.201,0.3399
40882.965,0.3316
40996.563,0.3363
41122.919,0.3529
41239.928,0.4067
41360.284,0.4611
41480.740,0.493
41604.516,0.5279
41722.112,0.545
41849.355,0.5497
41973.619,0.574
42107.566,0.5941
42227.421,0.5822
42350.375,0.6047
42476.589,0.6
42602.974,0.6195
42720.031,0.6325
42864.776,0.6201
42982.111,0.6437
43099.532,0.6496
43232.990,0.6502
43349.998,0.6402
43472.761,0.649
43589.369,0.6632
43709.306,0.6402
43826.214,0.6455
43949.562,0.6502
44069.874,0.6555
44193.448,0.6248
44310.843,0.6278
44431.562,0.6283
44565.024,0.6295
44678.613,0.6059
44804.874,0.613
44934.510,0.623
45057.979,0.5882
45175.287,0.5917
45295.931,0.5864
45413.522,0.5527
45534.409,0.558
45652.288,0.5208
45767.156,0.4286
45902.206,0.3955
46025.042,0.3795
46141.734,0.4025
46261.673,0.3889
46378.635,0.3824
46501.962,0.3694
46622.307,0.3635
46749.093,0.3399
46866.515,0.3553
46984.095,0.3304
47103.696,0.3352
47244.468,0.318
47372.803,0.2891
47492.722,0.2814
47619.088,0.256
47736.145,0.2548
47856.470,0.224
47983.258,0.2199
48103.863,0.1968
48221.440,0.1992
48351.180,0.1756
48467.941,0.1525
48584.871,0.1501
48708.270,0.1241
48828.666,0.0751
48946.035,-0.0733
49073.030,-0.1206
49197.015,-0.1389
49321.135,-0.1419
49445.431,-0.159
49559.532,-0.256
49682.353,-0.2571
49802.135,-0.2796
49922.021,-0.2565
50048.397,-0.2837
50168.624,-0.2843
50288.980,-0.3009
50412.660,-0.305
50526.945,-0.305
50650.875,-0.2867
50764.487,-0.2814
50884.166,-0.2778
51010.335,-0.2772
51139.769,-0.2737
51259.903,-0.2885
51383.333,-0.2784
51497.380,-0.276
51611.552,-0.2276
51738.569,-0.1951
51865.717,-0.185
51992.075,-0.175
52127.520,-0.1631
52250.525,-0.1365
52370.556,-0.1164
52487.580,-0.0898
52629.016,-0.055
52765.255,-0.0526
52885.836,-0.0118
53016.139,-0.0053
53140.237,0.0
53254.240,0.0006
53370.825,0.0195
53496.967,0.0355
53626.433,0.068
53749.750,0.0934
53873.220,0.1413
53996.779,0.198
54126.893,0.2098
54250.779,0.2441
54371.298,0.2589
54497.196,0.2885
54616.923,0.2855
54733.632,0.292
54872.605,0.3186
55002.268,0.321
55125.724,0.331
55258.836,0.3399
55379.453,0.3848
55515.058,0.4528
55635.978,0.4711
55755.701,0.4853
55875.592,0.5225
55998.763,0.5178
56118.965,0.5604
56242.479,0.5545
56359.799,0.5763
56474.072,0.5952
56591.642,0.6023
56712.552,0.6006
56836.765,0.6059
56956.985,0.6207
57070.438,0.6366
57184.005,0.6254
57313.467,0.652
57436.771,0.6508
57560.220,0.6609
57680.659,0.6508
57794.861,0.6585
57918.740,0.6484
58045.863,0.6662
58168.571,0.665
58303.056,0.6638
58419.699,0.6455
58554.490,0.6408
58680.912,0.6467
58801.116,0.6573
58915.139,0.6349
59038.811,0.6242
59167.930,0.6283
59291.899,0.6195
59430.075,0.6083
59556.262,0.5935
59685.785,0.587
59809.179,0.5805
59926.439,0.5663
60043.819,0.5556
60164.409,0.5409
60291.586,0.4404
60418.931,0.4014
60540.065,0.4031
60678.502,0.3706
60801.362,0.3795
60914.917,0.3889
61047.513,0.3547
61170.819,0.3493
61294.228,0.3257
61417.812,0.3399
61535.162,0.3322
61659.019,0.2902
61786.105,0.2879
61899.389,0.282
62025.384,0.2766
62151.552,0.2471
62284.169,0.2187
62404.324,0.2087
62524.610,0.2093
62641.867,0.1886
62765.615,0.1785
62886.320,0.1425
63007.209,0.1259
63145.039,0.0739
63264.966,0.0278
63385.091,-0.0461
63508.551,-0.1413
63628.945,-0.1472
63755.803,-0.159
63873.323,-0.2613
64000.523,-0.2595
64121.548,-0.2654
64245.857,-0.2867
64372.167,-0.2701
64498.107,-0.2991
64617.938,-0.2985
64734.722,-0.2802
64867.430,-0.2826
64999.339,-0.305
65116.557,-0.2808
65246.563,-0.295
65385.248,-0.2896
65508.816,-0.2956
65628.451,-0.3009
65745.064,-0.2737
65871.282,-0.2849
65988.188,-0.2506
66121.054,-0.2299
66244.557,-0.1933
66379.856,-0.1797
66497.258,-0.1738
66618.009,-0.136
66747.381,-0.1188
66860.990,-0.0851
66984.047,-0.0674
67104.070,-0.0627
67221.070,-0.0219
67347.723,-0.013
67468.203,0.0018
67592.004,-0.0136
67715.937,0.0231
67861.191,0.0366
67985.454,0.0349
68102.648,0.0804
68228.619,0.1176
68357.928,0.1377
68490.571,0.2234
68620.212,0.2518
68743.723,0.266
68873.687,0.2808
68994.314,0.2879
69130.898,0.3009
69248.045,0.2967
69377.063,0.3369
