Time_s,DeltaT_C
0.000,4.1770
4.966,3.7700
42.888,5.5515
55.530,4.9121
68.170,5.2439
80.816,3.5538
93.459,4.3636
106.103,4.6735
118.754,4.4833
131.397,5.0432
169.332,4.9727
181.974,6.2826
194.620,5.0924
207.268,4.1523
219.910,5.4621
232.557,5.0220
245.202,5.3318
257.843,4.8861
283.130,5.2315
295.774,4.7792
308.420,5.5770
321.061,4.6247
346.349,5.9379
358.993,3.4682
371.636,4.9985
384.282,4.5287
447.519,5.3591
460.162,3.6177
485.454,5.1267
498.100,4.6302
510.743,4.8838
523.386,4.6373
536.029,3.3908
548.676,4.6444
561.326,3.3993
573.969,4.6545
586.615,3.9098
599.259,4.6650
611.906,3.6702
624.553,4.9268
637.202,3.6868
649.850,4.9469
675.146,3.4669
700.438,4.7370
713.083,4.9970
725.729,4.0070
738.380,3.7616
776.329,3.5274
788.977,4.0348
814.275,3.5496
826.921,4.8071
839.569,5.0645
852.223,2.8176
864.878,3.5580
877.527,3.7984
890.179,3.5389
902.829,4.0293
915.475,4.5197
928.126,3.5102
940.775,4.0006
966.075,1.9815
978.724,3.4719
991.375,3.9623
1004.024,4.2028
1016.687,2.6914
1029.337,3.6789
1041.986,3.9164
1067.290,4.6414
1079.943,3.3789
1105.244,4.6103
1117.900,3.6067
1130.548,4.1030
1143.198,3.0994
1155.847,5.0957
1168.501,3.5920
1181.151,2.5884
1193.801,3.3347
1244.399,3.5701
1257.051,3.3164
1269.699,3.8128
1282.350,4.8091
1295.000,2.3055
1307.653,4.5519
1320.305,3.5502
1345.607,3.2971
1358.257,3.5473
1370.907,3.7975
1383.561,4.7978
1396.215,3.2981
1408.869,4.0484
1421.524,4.7988
1434.178,3.8005
1446.832,3.5540
1459.489,3.8076
1472.142,3.3112
1484.800,4.5647
1497.453,3.5683
1535.414,3.8227
1548.065,4.8240
1560.719,3.8253
1573.371,3.3266
1598.676,4.0792
1611.333,3.0805
1624.002,3.3318
1636.640,3.8331
1649.280,2.8344
1661.901,3.3357
