T_amb_C,T_MCU_C
27.173,31.350
27.080,30.850
26.548,32.100
26.438,31.350
26.356,31.600
26.296,29.850
26.236,30.600
26.177,30.850
26.117,30.600
26.057,31.100
25.877,30.850
25.817,32.100
25.758,30.850
25.698,29.850
25.638,31.100
25.578,30.600
25.518,30.850
25.464,30.350
25.368,30.600
25.321,30.100
25.273,30.850
25.225,29.850
25.162,31.100
25.132,28.600
25.102,30.100
25.071,29.600
24.991,30.350
24.982,28.600
24.973,30.100
24.970,29.600
24.966,29.850
24.963,29.600
24.959,28.350
24.956,29.600
24.951,28.350
24.945,29.600
24.940,28.850
24.935,29.600
24.930,28.600
24.923,29.850
24.913,28.600
24.903,29.850
24.883,28.350
24.863,29.600
24.853,29.850
24.843,28.850
24.838,28.600
24.823,28.350
24.815,28.850
24.800,28.350
24.793,29.600
24.786,29.850
24.782,27.600
24.792,28.350
24.802,28.600
24.811,28.350
24.821,28.850
24.830,29.350
24.840,28.350
24.849,28.850
24.869,26.850
24.878,28.350
24.888,28.850
24.897,29.100
24.909,27.600
24.921,28.600
24.934,28.850
24.959,29.600
24.971,28.350
24.990,29.600
24.993,28.600
24.997,29.100
25.001,28.100
25.004,30.100
25.008,28.600
25.012,27.600
25.015,28.350
25.030,28.600
25.034,28.350
25.037,28.850
25.041,29.850
25.045,27.350
25.048,29.600
25.050,28.600
25.053,28.350
25.053,28.600
25.052,28.850
25.052,29.850
25.052,28.350
25.052,29.100
25.051,29.850
25.050,28.850
25.046,28.600
25.042,28.850
25.039,28.350
25.035,29.600
25.032,28.600
25.027,28.850
25.026,29.850
25.025,28.850
25.023,28.350
25.021,29.100
25.020,28.100
25.018,28.350
25.017,28.850
25.016,27.850
25.014,28.350
25.013,28.100
25.012,28.600
25.010,28.850
25.007,29.600
25.003,27.600
25.000,28.600
24.997,28.350
24.994,28.850
24.996,28.350
24.997,28.850
24.999,29.600
25.003,28.850
25.005,27.850
25.006,28.600
25.008,28.350
25.010,28.600
25.013,29.850
25.015,28.850
25.018,27.600
25.021,27.100
25.025,28.850
25.028,27.350
25.032,28.600
25.035,28.850
25.049,27.600
25.052,28.850
25.055,29.100
25.059,28.600
25.066,28.350
25.069,28.850
25.073,28.350
25.076,27.350
25.078,28.350
25.080,28.850
25.081,28.350
25.081,28.850
25.080,29.100
25.080,28.350
25.077,27.350
25.075,28.850
25.071,27.600
25.070,28.350
25.069,28.850
25.068,28.600
25.068,28.850
25.067,28.600
25.067,27.600
25.066,28.600
25.065,29.600
25.064,28.100
25.061,29.350
25.058,28.850
25.056,29.600
25.053,27.350
25.050,28.600
25.048,28.850
25.045,28.600
25.043,28.850
25.042,28.600
25.041,28.350
25.041,28.850
25.043,28.350
25.045,28.100
25.047,27.600
25.049,28.350
25.051,27.100
25.053,28.350
25.057,29.100
25.056,29.350
25.055,28.350
25.055,27.350
25.059,28.350
25.062,29.600
25.066,27.850
25.067,29.600
25.067,27.600
25.068,28.350
25.068,28.600
25.069,28.350
25.070,28.850
25.070,28.600
25.070,28.350
25.070,28.850
25.069,28.350
25.069,29.100
25.069,27.600
25.069,28.850
25.068,30.100
25.065,29.600
25.062,29.350
25.062,28.850
25.063,28.600
25.064,28.350
25.064,28.850
25.063,29.850
25.063,28.600
25.062,28.850
25.062,29.100
25.061,28.850
25.060,29.100
25.060,27.850
25.059,28.850
25.059,28.350
25.058,27.600
25.057,28.850
25.055,28.600
25.055,27.600
25.054,29.600
25.054,28.850
25.053,29.600
25.052,28.850
25.052,27.100
25.051,28.350
25.050,28.600
25.049,27.600
25.049,28.600
25.048,28.350
25.047,28.850
25.047,29.600
25.046,28.350
25.046,28.600
25.044,28.850
25.044,27.600
25.044,28.600
25.044,28.850
25.043,28.350
25.043,28.850
25.043,28.600
25.043,28.350
25.042,28.600
25.034,28.850
25.022,28.350
25.022,29.600
25.022,28.600
25.023,28.350
25.023,30.100
25.023,28.850
25.023,28.350
25.023,28.600
25.023,28.850
25.024,27.350
25.024,28.350
25.024,29.600
25.024,28.350
25.024,29.850
25.024,28.600
25.025,28.850
25.025,28.600
25.025,28.850
25.023,29.850
25.016,28.850
25.006,28.600
25.007,28.850
25.008,28.600
25.009,28.350
25.010,28.600
25.011,29.600
25.012,28.850
25.013,29.100
25.014,27.350
25.015,28.850
25.016,28.600
25.017,28.350
25.018,27.600
25.018,28.850
25.018,28.350
25.018,28.850
25.018,28.350
25.017,28.850
25.017,28.350
25.018,28.850
25.019,28.100
25.020,28.850
25.019,28.350
25.017,27.600
25.016,29.350
25.015,28.850
25.012,29.600
25.011,28.850
25.008,30.100
25.007,29.350
25.006,28.350
25.006,27.600
25.005,29.600
25.004,28.350
25.004,28.600
25.003,29.100
25.003,28.350
25.002,28.600
25.001,28.850
25.000,27.600
24.999,28.850
24.998,27.600
24.996,28.350
24.995,28.600
24.994,28.850
24.996,28.350
24.998,29.600
25.001,28.600
25.003,28.350
25.005,28.850
25.007,28.350
25.008,28.850
25.009,28.350
25.009,28.850
25.008,28.600
25.008,27.850
25.008,28.600
25.008,29.350
25.008,28.600
25.008,29.100
25.007,28.850
25.007,28.350
25.004,28.600
25.003,28.100
25.002,28.600
25.001,28.850
25.000,28.350
24.997,28.600
24.996,29.850
24.994,28.850
24.994,28.600
24.993,28.350
24.993,27.850
24.993,29.600
24.993,28.350
24.993,28.850
24.994,28.350
24.995,28.850
24.995,28.350
24.996,28.850
24.997,27.850
24.998,28.850
24.998,28.350
24.999,29.600
25.000,26.600
25.000,28.850
25.001,29.850
24.999,27.350
24.997,28.350
24.997,27.600
25.000,28.350
25.004,29.600
25.004,28.850
25.004,29.600
25.003,28.350
25.003,29.600
25.003,28.850
25.003,28.600
25.003,28.850
25.003,27.600
25.002,28.600
25.002,29.600
25.002,28.850
25.002,28.350
25.001,27.350
25.000,28.350
24.999,29.600
24.998,28.350
24.997,28.850
24.999,28.100
25.000,28.850
25.003,28.600
25.004,29.600
25.005,29.350
25.006,30.350
25.007,28.350
25.008,28.600
25.009,28.350
25.011,28.850
25.010,28.350
25.010,28.600
25.009,29.100
25.009,28.850
25.009,28.600
25.012,28.850
25.013,28.350
25.013,29.350
25.013,30.100
25.013,29.600
25.014,28.350
25.014,27.850
25.014,29.350
25.013,29.850
25.013,28.350
25.012,28.100
25.011,28.350
25.010,29.100
25.009,27.600
25.006,28.850
25.003,28.350
25.000,27.600
25.000,28.850
25.000,29.600
25.000,29.350
25.000,28.600
24.999,28.850
24.998,28.600
24.998,28.350
24.998,28.850
24.997,30.100
24.997,28.350
24.996,28.850
24.996,27.600
24.997,29.850
24.997,28.100
24.997,28.600
24.998,28.350
24.998,29.600
24.999,30.100
24.999,28.850
24.999,28.350
24.998,27.600
24.998,28.600
24.998,29.100
24.998,28.350
24.997,28.600
