Time_s,Sawtooth_baseline_Value
0,189.7237896919
0.08263436,189.5740479231
0.16526952,189.7718310356
0.2479133,189.7097229958
0.33054052,189.7347569466
0.4131552,189.7134184837
0.49581008,189.8065805435
0.57845346,189.7316873074
0.66108828,189.799323678
0.74370688,189.6770298481
0.82633002,189.6711885929
0.90897208,189.536511898
0.99162468,189.6936446428
1.07426816,189.6737962961
1.15688756,189.6538585424
1.23951764,189.6803230047
1.32213482,189.8269951344
1.40476022,189.7849589586
1.4873906,189.5404607058
1.57004112,189.4358098507
1.65266404,189.6437704563
1.73530122,189.0597939491
1.81794118,188.7796521187
1.90055838,188.3775293827
1.98317568,188.1715655327
2.0658227,188.03191185
2.14848144,187.5305324793
2.23109326,187.0543062687
2.31371882,186.5732818842
2.3963599,185.9335005283
2.47899214,185.4749172926
2.56162098,184.7335845232
2.6442645,183.7751865387
2.726885,183.3649724722
2.80953266,182.5586259365
2.89218246,181.7855238914
2.97483782,181.2564581633
3.0574689,180.1945865154
3.14010398,179.3717741966
3.22274946,178.4089207649
3.3053987,177.1623343229
3.38804412,176.7198741436
3.4706623,175.3263622522
3.55329992,174.492970109
3.63593188,172.9826629162
3.7185687,171.856418252
3.8012005,170.7394421101
3.88383418,169.3980395794
3.96646436,167.9268181324
4.04909166,166.4516180754
4.131721,164.5187139511
4.21435022,162.2816622257
4.2969998,161.3904982805
4.37961722,160.16484797
4.46223678,157.7556431293
4.54486936,155.6402891874
4.62749916,153.8017988205
4.71012324,151.978880167
4.7927425,149.7577428818
4.87538862,147.2399383783
4.95803244,146.5105116367
5.04065172,144.0711468458
5.12328302,142.2834694386
5.20590696,139.9346441031
5.2885265,137.6745402813
5.37116302,135.0365132093
5.4537887,132.3373913765
5.53642612,129.1268318892
5.61905332,126.2228935957
5.70167832,124.6684268117
5.78429556,121.9670698047
5.86692018,117.3302978277
5.94953568,110.8539775014
6.03218084,105.7398766279
6.11480966,100.5607172847
6.19744134,97.47548401356
6.2800656,93.80601346493
6.36271646,86.60562336445
6.44535632,80.49629628658
6.52798482,72.31023907661
6.61063956,63.27766925097
6.69326886,58.60993266106
6.77590272,54.38270047307
6.85854086,49.23317208886
6.94117424,46.1883507669
7.02380554,43.4523448348
7.10642968,41.58874228597
7.18904756,38.7214794755
7.2716998,36.63494065404
7.35436018,32.48271346092
7.43697912,28.36225926876
7.51959558,26.68370865285
7.60223568,19.27430927753
7.68485354,19.61135305464
7.76748496,16.47176221013
7.85010096,13.54059204459
7.93272816,12.2037967667
8.01538654,10.39869152009
8.09802896,6.785824429244
8.18064572,3.700235625729
8.26327164,2.493109088391
8.34590804,0.3182505606674
8.42852606,-1.968032447621
8.51117404,-7.610542699695
8.5937962,-9.376915171742
8.6764424,-11.87038142234
8.75907356,-15.98351076245
8.84170162,-17.19587109983
8.92434028,-22.26409502327
9.00699314,-29.98482249677
9.08963524,-37.46532648802
9.17227038,-43.61798614264
9.25491862,-46.8209348619
9.33754116,-50.40722340345
9.42017262,-50.80405250192
9.50281252,-55.35119026899
9.58543688,-56.99987709522
9.66805704,-59.57027152181
9.7507094,-60.68013608456
9.83336464,-62.02159821987
9.91598758,-62.88062036037
9.99862032,-66.37445837259
10.0812541,-67.40891933441
10.16387772,-69.6639046073
10.24650226,-69.77051496506
10.32913592,-72.26769626141
10.41175842,-73.72867316008
10.49441102,-75.20251721144
10.57702556,-79.58503812551
10.65966376,-82.82626420259
10.7422794,-84.71012115479
10.824936,-85.96843481064
10.9075658,-86.90741658211
10.99020442,-88.76407891512
11.07286092,-90.1593118906
11.15548888,-90.0479182601
11.23811314,-91.44741296768
11.32074308,-93.97175908089
11.40336078,-96.7800617218
11.48599016,-98.28429669142
11.56863414,-100.115865469
11.65126932,-101.9577980042
11.7338886,-103.2648384571
11.8165406,-105.4812371731
11.89919554,-106.5405458212
11.98184352,-108.3974167705
12.06446474,-111.1528649926
12.14708276,-111.5997806191
12.22970996,-113.20091784
12.31233062,-117.0594543219
12.39497224,-120.0693994761
12.47760488,-121.0966780782
12.5602219,-123.1227517128
12.64283422,-125.7800608873
12.72549266,-129.989027977
12.80812734,-131.4571499825
12.8907553,-135.4547441006
12.97340636,-136.7021352053
13.0560521,-137.6100331545
13.13872126,-140.2997076511
13.22135278,-141.6888237
13.30399736,-146.0727155209
13.38665102,-150.3795832396
13.46928304,-155.1067233086
13.55190574,-157.8021943569
13.63452366,-161.6863310337
13.71715004,-161.7505401373
13.79976764,-162.7165675163
13.8824077,-163.2836014032
13.965037,-164.0826165676
14.04766782,-165.1709079742
14.13028308,-165.2806550264
14.21289492,-165.7253503799
14.29553604,-165.2844697237
14.37816316,-165.6268686056
