Time_s,Sawtooth_center_Value
0,178.1263798475
0.082646,178.7343621254
0.16529798,178.4897893667
0.24794738,178.1710386276
0.3306072,177.8394728899
0.41322978,177.7970939875
0.49587514,177.8285056353
0.57849448,178.0604571104
0.66115016,177.721992135
0.74378808,177.1745979786
0.82643448,176.1410534382
0.90905786,175.3100454807
0.9917152,174.6054589748
1.07432602,174.7068017721
1.15694036,174.7356206179
1.23959082,174.0350872278
1.32224654,173.2137799263
1.404858,172.4956184626
1.48751082,171.4757829905
1.57013912,170.7025319338
1.65277542,170.077085495
1.73539986,168.7016040087
1.8180503,168.3736741543
1.90068148,167.7438765764
1.98331576,167.1645790339
2.06592904,165.4486060143
2.1485642,164.2413139343
2.23118404,162.870451808
2.31383454,162.0180159807
2.39646864,161.4777296782
2.47910288,160.701751709
2.56173976,158.7201207876
2.64435556,157.1606844664
2.72696656,155.1025062799
2.80960476,153.3881127834
2.892232,152.3955464363
2.97485928,151.9136577845
3.05748294,150.6648510695
3.14011664,148.7655043602
3.22275042,146.6286629438
3.30537726,144.8530256748
3.38801524,143.3899998665
3.47065812,140.8282369375
3.55329088,138.8079226017
3.6359434,136.9490623474
3.71858754,135.7138454914
3.8012236,132.8536868095
3.88385458,130.926027894
3.96647618,128.827303648
4.04909742,126.5515983105
4.13172652,123.9878982306
4.2143667,122.0194846392
4.29700608,119.8925897479
4.37964498,118.4758096933
4.46229948,115.6053468585
4.54492672,111.9691058993
4.62756238,109.4689443707
4.71019056,106.0544550419
4.7928301,103.2618433237
4.87545648,101.6395241022
4.95810836,98.3607172966
5.04071988,95.35054862499
5.12333934,92.07633882761
5.2059667,86.90670877695
5.28860002,81.99806511402
5.3712359,73.79523664713
5.45387042,67.64098256826
5.53648966,61.53001263738
5.6191337,58.09942260385
5.70177852,54.45824190974
5.7844255,50.5495518446
5.86706686,48.22465777397
5.9497076,46.02449387312
6.03233166,41.031293571
6.11496922,38.78575190902
6.19758862,34.4365015626
6.28024222,32.59718418121
6.36287422,27.672637254
6.44549838,22.84733951092
6.5281309,20.14532126486
6.61075856,20.15532366931
6.69339872,16.0953309387
6.77602298,11.98409125209
6.85863378,10.33098902553
6.94128176,6.021109875292
7.0239077,4.849331453443
7.10652332,2.658697543666
7.18917602,0.8482910925522
7.27180358,0.4929348360747
7.35442582,-4.119485616684
7.43705216,-6.034293677658
7.51969628,-10.37347409874
7.60231624,-9.370699524879
7.68495532,-15.10797999799
7.76756608,-15.43375663459
7.85020762,-24.11164902151
7.93282916,-33.5348546505
8.0154633,-42.22115501761
8.09808132,-42.70410910249
8.18069188,-46.64839804173
8.26331018,-47.74872213602
8.3459349,-51.76468193531
8.42856902,-53.34161967039
8.5112376,-54.19446527958
8.59386226,-56.10639601946
8.67649266,-58.22492390871
8.75913996,-58.92103165388
8.84176374,-60.84804236889
8.92439574,-65.63305854797
9.00703024,-65.33841043711
9.08964386,-67.2323256731
9.1722826,-68.53340566158
9.25490612,-70.80982625484
9.33754616,-72.18560576439
9.42020558,-73.3475163579
9.50282856,-76.17472112179
9.58545342,-79.09702509642
9.66810096,-80.59492707253
9.7507207,-81.32237941027
9.83334186,-82.80764520168
9.9159819,-84.07840132713
9.99860072,-85.36504209042
10.08124338,-88.53831887245
10.1638588,-90.23021161556
10.24650172,-92.94588118792
10.32914144,-93.3974981308
10.4117651,-94.92208063602
10.4943812,-96.86208516359
10.57701918,-98.31637144089
10.65965938,-100.5176007748
10.74227816,-101.6039550304
10.8248976,-104.5925915241
10.9075327,-107.1324944496
10.99019364,-108.050480485
11.07282382,-108.4314137697
11.1554543,-113.0024343729
11.23810328,-115.9835979342
11.32072044,-118.908084929
11.40336132,-121.5601041913
11.48602588,-124.268129468
11.56864194,-127.0429491997
11.65129014,-131.1842054129
11.73392362,-132.8858733177
11.81654304,-135.0068151951
11.89917644,-137.5726759434
11.98180624,-140.9490853548
12.06443846,-143.0730372667
12.14705786,-146.2753564119
12.22967336,-151.4014899731
12.31230466,-156.7001193762
12.39493062,-157.6079428196
12.47756002,-161.9089394808
12.56019444,-165.3902232647
12.64285006,-168.6314642429
12.72548052,-169.8065251112
12.80811174,-168.7238514423
12.89074862,-169.9975878
12.97338516,-171.2501943111
13.05600768,-171.065762639
13.13863302,-171.9561070204
13.22129148,-173.6402958632
13.3039201,-174.7821718454
13.38655524,-175.7103353739
13.46917462,-175.0653237104
13.55178144,-174.8558133841
13.63441662,-173.66284132
13.71703268,-173.6281216145
13.79966816,-174.0362644196
13.88229478,-174.3500828743
13.96493008,-173.7065315247
14.04754318,-173.0358600616
14.13016892,-171.5416461229
14.21281364,-171.2148785591
14.29545004,-170.3744679689
14.37808466,-169.7244495153
14.46070878,-168.967962265
14.54335486,-168.4952527285
14.625989,-168.3687269688
14.70861934,-166.1251038313
14.79124232,-164.8495346308
14.87387126,-164.2379462719
14.95651898,-163.2643938065
15.0391447,-162.1931493282
15.12177118,-162.3311340809
15.2043906,-161.9802564383
15.28701168,-161.5155488253
15.3696617,-159.5826148987
15.45229548,-157.7846258879
15.53491426,-156.5287262201
15.61754346,-154.9640148878
15.70016902,-154.237806797
15.78279322,-153.8009941578
15.8654081,-153.2472223043
15.94806202,-150.7135033607
16.03068416,-148.9028930664
16.113315,-146.8416154385
16.19593074,-146.0040956736
16.27857316,-145.971134305
16.36119474,-145.2831923962
16.4438327,-143.2411521673
16.52649492,-141.2213891745
16.60912004,-136.8345022202
16.69175372,-134.3072503805
16.7743967,-132.7957957983
16.85705546,-129.1574686766
16.93969536,-127.9002428055
17.02232182,-127.8944611549
17.10493708,-125.8938461542
17.18757348,-124.1220831871
17.27020012,-120.5774843693
17.35284844,-118.4007376432
17.43548044,-117.5725907087
17.51811084,-117.7833452821
17.60072806,-116.964943707
17.68335498,-118.267647922
17.76597946,-114.6123707294
17.84860884,-111.8704080582
17.9312285,-109.8591163754
18.01385612,-106.5178886056
18.09650194,-104.1554585099
18.17912804,-101.8774360418
18.26174198,-98.36462885141
18.34439014,-92.31398999691
18.42702918,-90.08125215769
18.50966764,-86.43883466721
18.59229102,-80.86749911308
18.67493512,-72.27853685617
18.75755426,-70.48024982214
18.84017888,-69.36655193567
18.92281422,-66.63667410612
19.00542828,-63.18917125463
19.088043,-64.19307738543
19.17067726,-59.40144136548
19.25331496,-55.20333722234
19.33594468,-53.78403142095
19.4185684,-50.99936574697
19.50118806,-47.59675264359
19.58382276,-45.25793343782
19.6664472,-41.12004488707
19.74907632,-41.78057610989
19.83170226,-37.9698574543
19.91433316,-35.52313521504
19.99695346,-32.80867263675
20.07958076,-28.98873575032
20.16221872,-27.29122526944
20.24485106,-22.66795374453
20.3274802,-21.01984992623
20.41012,-18.97559687495
20.49275716,-12.44880259037
20.57538538,-7.731112185866
20.65802,-4.758829716593
20.74064938,-3.128686454147
20.8233003,0.1429906405974
20.90594682,2.944271313027
20.98856454,7.165482267737
21.07117908,9.24257747829
21.15381386,10.1854307577
21.23642972,15.98858833313
21.31905456,19.27904039621
21.40168748,20.11814713478
21.48430288,23.14569242299
21.56693434,23.91191013157
21.64957622,27.33224071562
21.73222664,29.73625250161
21.81485038,28.87446247041
21.8974668,33.35464000702
21.9801087,35.51695123315
22.06272428,39.72525522113
22.14533624,45.35245895386
22.22797138,47.44832217693
22.31061264,50.40760338306
22.39323016,52.60181054473
22.47586618,55.11694401503
22.55848692,61.55814602971
22.64112028,66.90399348736
22.72374336,71.78734242916
22.80638642,74.24395531416
22.88902158,76.83935761452
22.97165628,81.82640373707
23.05428194,83.24326574802
23.13690606,87.82755583525
23.21953584,92.00527518988
23.30216206,95.45463323593
23.3847793,99.44465011358
23.4674244,103.0645519495
23.55005658,107.7697724104
23.63267442,109.0839803219
23.71530576,111.8318736553
23.79794412,113.9826104045
23.88057932,115.8529222012
23.9632084,118.0003881454
24.04582958,120.0361475348
24.12846356,123.5629767179
24.21107902,125.473856926
24.2937227,129.4578313828
24.37635576,133.0832242966
24.45899378,135.2431625128
24.54161656,137.023165822
24.62424604,139.8685276508
24.70689112,142.849996686
24.78951522,145.5077975988
24.87212984,146.8993127346
24.95479324,148.7682163715
25.0374289,149.4625508785
25.12006842,151.508897543
25.20270724,153.6819934845
25.28534196,154.5203179121
25.36797248,156.087860465
25.45058518,157.9595059156
25.53322068,158.9670330286
25.61585778,159.0276807547
25.69846634,158.7891280651
25.7811292,159.0273082256
25.86374704,158.8922441006
25.94637756,159.2667102814
26.02900376,159.7279906273
26.11163362,159.7700566053
26.19427188,159.5727056265
26.27688498,159.1396778822
26.35953472,158.8796079159
26.4421842,158.3904027939
26.52480576,158.5786789656
26.60743656,158.6495041847
26.6900786,158.3771854639
26.77271588,157.732218504
26.85532308,157.0194363594
26.93794586,156.2387943268
27.02059096,155.4725021124
27.10325356,155.0512909889
27.18588472,154.578641057
27.26850154,153.0645042658
27.3511225,152.82510221
27.43376504,152.4399966002
27.51638998,150.6061404943
27.59900708,149.2015123367
27.68164472,148.0589359999
27.76426752,147.0462977886
27.8469047,146.5206295252
27.92952102,145.6902176142
28.0121715,145.0529545546
28.0948061,143.7572091818
28.17744368,141.3570195436
28.26008358,140.1444375515
28.34271818,138.9673650265
28.42533944,137.7241611481
28.50795886,136.8529051542
28.59060218,135.3368461132
28.6732345,133.179962635
28.75586088,131.4475685358
28.8384855,130.0825923681
28.92111188,128.3872574568
29.00372144,126.6848146915
29.08636594,123.9755377173
29.16900126,123.3195513487
29.25160798,121.410921216
29.33422836,118.8093051314
29.41686384,117.1081662178
29.4995034,115.0001063943
29.582124,112.5516071916
29.6647562,110.8020171523
29.74740288,109.6448600292
29.83002174,108.7583303452
29.9126489,105.7629957795
29.99527768,101.086512208
30.07791568,95.6025570631
30.16053228,93.05054694414
30.24318036,89.76699411869
30.32580972,86.98232471943
30.4084443,83.1835269928
30.49107286,77.81104743481
30.57369066,74.05549287796
30.65632284,67.67474114895
30.73895592,63.52365761995
30.8216116,57.73534625769
30.90424208,52.25693061948
30.98688818,44.0653078258
31.06950966,38.79704326391
31.15214908,37.99821808934
31.2347643,35.06245091558
31.31741104,32.16732293367
31.40005506,28.628597036
31.48266552,27.60731615126
31.56529668,25.28773248196
31.6479135,21.41209691763
31.73055082,16.86949841678
31.8131731,11.97189278901
31.89580156,9.276088327169
31.97842556,8.092218078673
32.06104496,5.462281405926
32.14367446,5.832953378558
32.22630938,1.601034309715
32.3089389,0.3249295696151
32.39155874,-1.826852094382
32.4741866,-3.934890963137
32.55680158,-4.470479674637
32.6394243,-8.095693774521
32.7220546,-13.39262723923
32.80468578,-15.00895153731
32.88730668,-18.38554441929
32.96993268,-21.22528851032
33.05255552,-23.1383703649
33.13517978,-25.91407857835
33.21780128,-31.61911666393
33.30046872,-38.10006380081
33.38308516,-45.14990374446
33.46572594,-52.38470062613
33.54834106,-51.61071568727
33.63096496,-54.8634044826
33.71362476,-58.02650749683
33.79625752,-60.02790108323
33.87887818,-61.19570881128
33.96150762,-61.73223257065
34.04414884,-64.30135667324
34.12678352,-65.20058959723
34.20940808,-66.29239022732
34.29204026,-67.32039898634
34.37466972,-70.436835289
34.45731416,-70.42682915926
34.53993578,-74.11424815655
34.62257174,-75.28802007437
34.70518822,-75.64178109169
34.7878215,-76.79733633995
34.87043172,-79.57904785872
34.95305238,-82.83530175686
35.03570324,-84.33922380209
35.11833226,-85.8218818903
35.20095898,-88.64549547434
35.28358198,-89.89768475294
35.36620442,-92.29282289743
35.4488549,-93.36953610182
35.53148776,-95.25787085295
35.614114,-96.42723202705
35.69673434,-98.00810366869
35.77936566,-100.1406759024
35.86199494,-101.5949621797
35.9446497,-103.0635535717
36.02725838,-103.66307199
36.10987344,-105.4335683584
36.19250174,-109.2234700918
36.2751411,-111.726000905
36.35778602,-112.6407533884
36.44040936,-114.3753379583
36.52304346,-115.7351434231
36.60566866,-116.607606411
36.68831326,-116.791985929
36.77093264,-116.8209239841
36.8535544,-117.798872292
36.93620626,-118.4823587537
37.0188223,-118.7581419945
37.10145406,-118.2818487287
37.18407426,-118.411898613
37.266718,-117.8746819496
37.34934804,-117.1896308661
37.4319909,-117.6292896271
37.51463432,-117.5972670317
37.59726694,-117.1312704682
37.67988088,-116.636171937
37.76250914,-116.1546111107
37.8451558,-115.7746911049
37.9278037,-115.4745966196
38.01043146,-115.1538938284
38.0930596,-113.8610094786
38.17570576,-113.5547608137
38.25833468,-113.7965172529
38.34096158,-113.1187975407
38.42361868,-111.5909740329
38.50624752,-110.474653542
38.5888681,-109.9832653999
38.6714831,-109.9801808596
38.7541147,-109.8490357399
38.83673326,-108.1195920706
38.91934942,-108.8567003608
39.00196706,-107.7673137188
39.0846121,-104.6932563186
39.16722322,-103.10652107
39.24985518,-101.828828454
39.3324938,-100.6323844194
39.4151281,-100.6240099669
39.49776412,-99.20942038298
39.58038196,-98.68765622377
39.66303664,-98.91119599342
39.74566182,-98.52550923824
39.828289,-98.46261888742
39.9109443,-96.37611359358
39.99358902,-96.84345126152
40.07620734,-95.62227874994
40.1588444,-94.07982230186
