Time_s,Voltage_V
0.000,0.6278
106.408,0.6354
207.817,0.6236
309.310,0.6414
417.281,0.6555
522.142,0.6538
623.928,0.6662
724.938,0.6437
825.772,0.6473
926.711,0.6549
1030.878,0.6638
1141.434,0.6685
1239.528,0.6615
1344.047,0.6804
1445.507,0.6638
1553.346,0.665
1651.846,0.6632
1766.314,0.6591
1865.016,0.6538
1966.207,0.6632
2070.121,0.6567
2174.137,0.6437
2275.092,0.6461
2379.287,0.6455
2483.587,0.623
2588.002,0.6272
2686.169,0.6325
2797.124,0.6183
2898.718,0.5976
3033.223,0.6112
3147.416,0.6006
3254.398,0.5775
3358.352,0.5551
3456.105,0.561
3557.096,0.5415
3661.296,0.535
3759.328,0.5273
3857.440,0.5066
3955.657,0.3683
4068.819,0.373
4176.739,0.3428
4284.733,0.3618
4389.700,0.3529
4496.867,0.3434
4607.290,0.3257
4711.555,0.3145
4812.820,0.279
4932.122,0.2808
5036.670,0.2489
5135.004,0.2554
5242.938,0.2228
5344.643,0.1844
5449.605,0.1472
5554.720,0.1017
5656.251,0.0426
5763.251,0.0384
5864.052,0.0207
5964.935,-0.0207
6065.959,-0.0254
6167.077,-0.0609
6274.592,-0.0833
6382.233,-0.1348
6480.462,-0.292
6585.161,-0.2956
6701.577,-0.282
6803.302,-0.2914
6907.399,-0.2967
7011.374,-0.3068
7115.462,-0.3032
7222.788,-0.3168
7323.900,-0.3245
7431.447,-0.3322
7532.809,-0.3535
7631.092,-0.3523
7729.488,-0.3553
7834.319,-0.3505
7945.599,-0.3641
8047.453,-0.3789
8158.366,-0.3694
8259.202,-0.3931
8360.115,-0.3966
8464.282,-0.3937
8562.261,-0.3984
8669.812,-0.3996
8767.989,-0.3842
8872.577,-0.3931
8974.078,-0.386
9078.854,-0.4079
9186.896,-0.3966
9295.049,-0.3848
9395.820,-0.4061
9496.592,-0.3813
9597.444,-0.3889
9701.576,-0.3759
9812.133,-0.3754
9922.759,-0.386
10024.053,-0.3754
10138.022,-0.3848
10242.690,-0.373
10347.419,-0.3866
10449.089,-0.3807
10560.106,-0.3647
10664.124,-0.3771
10765.060,-0.3434
10866.133,-0.3387
10970.431,-0.3387
11074.829,-0.3411
11182.548,-0.3204
11284.061,-0.276
11379.297,-0.2087
11484.158,-0.1838
11589.136,-0.136
11687.870,-0.0969
11786.685,-0.1023
11891.066,-0.091
11995.013,-0.0904
12095.927,-0.0863
12200.114,-0.0709
12298.075,-0.0491
12392.959,-0.0301
12500.578,-0.0313
12605.112,-0.0254
12706.624,0.0006
12801.887,0.003
12900.427,-0.0095
13040.900,0.013
13144.841,0.026
13242.566,0.0467
13343.547,0.0461
13447.772,0.0508
13558.400,0.0579
13662.814,0.0845
13761.026,0.0763
13859.328,0.0833
13957.709,0.1159
14056.174,0.1099
14167.442,0.1123
14284.939,0.1584
14382.678,0.2418
14480.549,0.292
14603.721,0.3091
14711.278,0.3517
14809.426,0.3996
14907.705,0.4256
15009.198,0.454
15110.867,0.4782
15215.781,0.4888
15317.617,0.5078
15416.372,0.5237
15524.674,0.5296
15628.636,0.571
15732.706,0.5616
15830.571,0.5474
15928.501,0.571
16032.881,0.5515
16131.017,0.5521
16235.564,0.5285
16340.211,0.5243
16441.823,0.5225
16537.162,0.5373
16642.129,0.5089
16743.491,0.4823
16844.218,0.467
16948.182,0.4552
17055.390,0.4303
17156.402,0.4114
17263.832,0.3493
17365.058,0.2625
17484.339,0.2435
17588.897,0.2359
17693.574,0.1957
17798.415,0.1797
17903.295,0.1767
18001.329,0.1543
18105.292,0.1312
18203.070,0.1224
18307.261,0.1295
18417.856,0.0881
18525.384,0.1088
18626.727,0.1052
18734.463,0.0709
18832.835,0.0656
18940.864,0.0366
19048.991,0.01
19147.674,-0.0189
19245.870,-0.0248
19358.330,-0.0467
19462.443,-0.0609
19569.766,-0.0804
19674.067,-0.0898
19775.329,-0.1501
19879.873,-0.2755
19981.310,-0.3097
20086.020,-0.3216
20187.644,-0.3281
20292.552,-0.3162
20400.769,-0.3328
20511.424,-0.3464
20618.515,-0.3346
20719.372,-0.357
20820.363,-0.3606
20924.585,-0.3635
21035.237,-0.3754
21136.521,-0.3872
21234.745,-0.3848
21336.179,-0.3866
21440.914,-0.4096
21542.586,-0.4167
21650.534,-0.4356
21775.603,-0.4445
21879.598,-0.5503
21980.591,-0.6727
22081.633,-0.7312
22182.751,-0.8057
22280.833,-0.8311
22382.193,-0.8228
22498.467,-0.8287
22600.021,-0.8583
22714.345,-0.8494
22819.230,-0.9375
22917.920,-0.9399
23028.311,-0.934
23132.524,-0.9239
23227.356,-0.9304
23331.784,-0.9316
23436.329,-0.9186
23537.822,-0.9405
23642.605,-0.9245
23747.506,-0.9257
23852.470,-0.9215
23954.378,-0.9233
24056.399,-0.9322
