Time_s,Sensor_negDegPLA,Sensor_negDegTPU,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
0,NaN,NaN,24.801,25,0,50
82,NaN,NaN,24.181,25,80.54,30
141.71482182,77.3880859375,NaN,NaN,NaN,NaN,NaN
158.71095666,NaN,120.97478125,NaN,NaN,NaN,NaN
175.29093702,77.3843125,NaN,NaN,NaN,NaN,NaN
193.37040946,77.3494296875,NaN,NaN,NaN,NaN,NaN
210.3655873,NaN,120.0089609375,NaN,NaN,NaN,NaN
228.4447146,NaN,119.731171875,NaN,NaN,NaN,NaN
245.02591244,77.2554921875,NaN,NaN,NaN,NaN,NaN
264.60302952,NaN,119.4712578125,NaN,NaN,NaN,NaN
280.099446,NaN,119.264171875,NaN,NaN,NaN,NaN
298.17858404,NaN,119.2040390625,NaN,NaN,NaN,NaN
316,NaN,NaN,24.113,25,31.42,30
332.84036548,77.080234375,NaN,NaN,NaN,NaN,NaN
350.91980364,77.0563671875,NaN,NaN,NaN,NaN,NaN
367.91233222,NaN,118.7774609375,NaN,NaN,NaN,NaN
387,NaN,NaN,24.384,25,28.01,30
402.57533374,77.0079453125,NaN,NaN,NaN,NaN,NaN
420.65478582,76.99459375,NaN,NaN,NaN,NaN,NaN
437.6461335,NaN,118.603390625,NaN,NaN,NaN,NaN
456.81365242,77.01875,NaN,NaN,NaN,NaN,NaN
473.80439272,NaN,118.57703125,NaN,NaN,NaN,NaN
491.88352368,NaN,118.5560703125,NaN,NaN,NaN,NaN
509,NaN,NaN,25.311,25,32.118,30
526.54866004,77.121171875,NaN,NaN,NaN,NaN,NaN
544.6281129,77.1619296875,NaN,NaN,NaN,NaN,NaN
561.61727788,NaN,118.735015625,NaN,NaN,NaN,NaN
579.69639674,NaN,118.7736640625,NaN,NaN,NaN,NaN
596.28367776,77.2929375,NaN,NaN,NaN,NaN,NaN
614.36311606,77.3212578125,NaN,NaN,NaN,NaN,NaN
631.35101698,NaN,118.7363984375,NaN,NaN,NaN,NaN
649.43015982,NaN,118.69934375,NaN,NaN,NaN,NaN
666.01877432,77.3737890625,NaN,NaN,NaN,NaN,NaN
684.09824502,77.384109375,NaN,NaN,NaN,NaN,NaN
701.08486274,NaN,118.508734375,NaN,NaN,NaN,NaN
719.16399248,NaN,118.4813515625,NaN,NaN,NaN,NaN
737,NaN,NaN,25.449,25,34.663,30
753.83322032,77.3637421875,NaN,NaN,NaN,NaN,NaN
771.9126757,77.3664921875,NaN,NaN,NaN,NaN,NaN
788.89775076,NaN,118.162890625,NaN,NaN,NaN,NaN
806.97685316,NaN,118.177375,NaN,NaN,NaN,NaN
823.56818618,77.34703125,NaN,NaN,NaN,NaN,NaN
841.6476324,77.336828125,NaN,NaN,NaN,NaN,NaN
859,NaN,NaN,25.059,25,32.973,30
876.71056892,NaN,118.00265625,NaN,NaN,NaN,NaN
894.78967072,NaN,117.971515625,NaN,NaN,NaN,NaN
911.38253184,77.3316484375,NaN,NaN,NaN,NaN,NaN
929,NaN,NaN,24.986,25,33.016,30
946.44429464,NaN,117.8234453125,NaN,NaN,NaN,NaN
964.52335864,NaN,117.8148046875,NaN,NaN,NaN,NaN
982,NaN,NaN,24.951,25,32.806,30
999.19676566,77.3132578125,NaN,NaN,NaN,NaN,NaN
1017.27614612,77.3195546875,NaN,NaN,NaN,NaN,NaN
1034.25705166,NaN,117.6835546875,NaN,NaN,NaN,NaN
1050.85220908,77.3111484375,NaN,NaN,NaN,NaN,NaN
1069,NaN,NaN,24.91,25,32.222,30
1087.01087716,77.3092890625,NaN,NaN,NaN,NaN,NaN
1104,NaN,NaN,24.885,25,31.982,30
1123.16945066,77.2770703125,NaN,NaN,NaN,NaN,NaN
1140.14904384,NaN,117.514484375,NaN,NaN,NaN,NaN
1158.22819268,NaN,117.5749140625,NaN,NaN,NaN,NaN
1174.82458864,77.2780703125,NaN,NaN,NaN,NaN,NaN
1192.90389588,77.268734375,NaN,NaN,NaN,NaN,NaN
1210.98321924,77.26765625,NaN,NaN,NaN,NaN,NaN
1227.96193764,NaN,117.351734375,NaN,NaN,NaN,NaN
1244.5590446,77.258140625,NaN,NaN,NaN,NaN,NaN
